gameid	order	A	B	C	D	E	F
716	11	5	-7	-4	13	-27	-13
716	12	6	-18	-11	-6	-10	-3
716	13	1	2	-2	-15	-11	0
716	14	2	-5	-13	-9	-9	7
716	15	24	-8	-13	-7	7	-12
716	16	16	-20	8	7	-17	1
716	17	-5	5	-18	-15	-6	1
716	18	-2	0	1	-3	-10	-3
716	19	4	-14	-19	14	-10	11
716	20	4	-12	-3	4	3	-5
716	21	6	-2	-12	-8	-5	-10
716	22	5	-2	-21	8	7	7
716	23	0	22	-3	-11	-25	22
716	24	1	-18	-7	-17	15	-5
716	25	18	-13	10	-22	-21	-9
716	26	-4	-13	-33	2	5	-28
716	27	14	-6	-17	-2	-4	-19
716	28	7	-5	11	14	-10	7
716	29	-5	11	-21	-4	2	-8
716	30	-3	-11	-6	-9	9	10
716	31	9	5	-18	-18	-31	-6
716	32	11	20	2	-4	-6	-30
716	33	-3	-9	6	-7	13	9
716	34	9	-8	-5	-5	23	-17
716	35	-18	4	-9	-21	-8	-18
716	36	9	-2	-14	17	-3	2
716	37	5	-4	-15	-23	-21	1
716	38	-4	-22	5	14	0	5
716	39	25	7	-6	3	-17	-12
716	40	15	-2	-11	-8	4	18
716	41	-1	-1	-9	14	-13	2
716	42	11	-6	-2	-2	-14	-1
716	43	20	17	23	5	-9	5
716	44	-2	7	9	-27	-5	-11
716	45	11	-19	-5	2	-5	-11
716	46	-2	2	-23	-31	-14	-1
716	47	3	-11	2	-13	-2	10
716	48	-12	-15	-15	24	6	-20
716	49	4	7	3	11	-33	20
716	50	6	-14	-2	-35	5	-1
716	51	-5	3	-11	2	-23	7
716	52	12	-2	-2	-11	-3	-2
716	53	19	-24	5	-11	16	-10
716	54	29	-13	17	9	8	-16
716	55	9	-18	-5	1	-2	-4
716	56	5	-13	1	-8	-29	-11
716	57	5	8	9	-4	-6	-8
716	58	17	2	-22	-2	-21	0
716	59	12	9	7	-3	21	1
716	60	19	-2	1	-13	5	-10
716	61	-1	-5	-25	2	-3	2
716	62	-20	-13	-12	1	-13	-19
716	63	-22	16	-5	19	22	-13
716	64	7	-2	1	-2	6	9
716	65	-13	14	21	6	-5	-17
716	66	4	-21	-2	13	-22	3
716	67	18	3	-17	18	29	15
716	68	4	2	6	-10	-30	13
716	69	-8	3	1	-9	-19	-3
716	70	-4	-11	3	1	-1	-26
716	71	-18	-21	-2	2	11	19
716	72	-1	-4	-4	1	-8	-13
716	73	-2	1	-7	14	-17	-3
716	74	4	2	-3	-27	3	-11
716	75	15	-11	14	-16	-13	5
716	76	28	-23	9	-13	-3	-5
716	77	5	-1	-4	-20	-17	-2
716	78	7	38	-18	-27	2	9
716	79	-17	-26	-26	-4	10	1
716	80	17	-5	3	-10	13	-19
716	81	8	-5	-4	-7	-16	-29
716	82	10	6	-15	1	-7	-7
716	83	19	-2	-19	5	-18	-19
716	84	13	1	14	-5	7	-6
716	85	-1	5	-9	-9	-7	-2
716	86	-1	-10	-19	0	-7	-20
716	87	1	1	-7	11	-22	8
716	88	-7	-1	-1	-20	-17	-5
716	89	-7	7	-11	-26	-2	-19
716	90	15	-26	-15	-26	1	-24
716	91	3	-23	-12	0	-3	-1
716	92	25	-7	2	-4	-6	6
716	93	21	7	-22	-5	1	-15
716	94	-13	3	-17	-17	-21	-15
716	95	6	-20	-11	16	17	-14
716	96	8	-8	-18	-8	-8	-16
716	97	0	-13	-2	-5	0	-1
716	98	-13	-9	-22	-3	-12	-13
716	99	20	7	6	3	-3	-13
716	100	10	-11	5	-8	4	-16
717	1	0	-20	0	0	0	0
717	2	15	-17	0	0	0	0
717	3	19	-18	0	0	0	0
717	4	-2	-22	0	0	0	0
717	5	4	-11	0	0	0	0
717	6	3	16	0	0	0	0
717	7	-11	-12	0	0	0	0
717	8	11	-7	0	0	0	0
717	9	14	-8	0	0	0	0
717	10	-2	-13	0	0	0	0
717	11	9	6	0	0	0	0
717	12	23	-2	0	0	0	0
717	13	6	-10	0	0	0	0
717	14	8	7	0	0	0	0
717	15	15	2	0	0	0	0
717	16	-19	15	0	0	0	0
717	17	23	-7	0	0	0	0
717	18	-9	-17	0	0	0	0
717	19	20	-14	0	0	0	0
717	20	10	14	0	0	0	0
717	21	11	17	0	0	0	0
717	22	13	-1	0	0	0	0
717	23	-1	2	0	0	0	0
717	24	-3	-7	0	0	0	0
717	25	5	-7	0	0	0	0
717	26	1	-11	0	0	0	0
717	27	31	-10	0	0	0	0
717	28	10	-7	0	0	0	0
717	29	1	-11	0	0	0	0
717	30	-9	15	0	0	0	0
717	31	2	-15	0	0	0	0
717	32	5	-25	0	0	0	0
717	33	-18	-15	0	0	0	0
717	34	26	-2	0	0	0	0
717	35	-15	3	0	0	0	0
717	36	24	-4	0	0	0	0
717	37	4	2	0	0	0	0
717	38	6	7	0	0	0	0
717	39	16	-18	0	0	0	0
717	40	13	1	0	0	0	0
717	41	0	3	0	0	0	0
717	42	19	-20	0	0	0	0
717	43	9	-12	0	0	0	0
717	44	4	-10	0	0	0	0
717	45	-7	1	0	0	0	0
717	46	-16	-13	0	0	0	0
717	47	-12	4	0	0	0	0
717	48	16	16	0	0	0	0
717	49	12	-3	0	0	0	0
717	50	3	14	0	0	0	0
717	51	1	-20	0	0	0	0
717	52	-4	26	0	0	0	0
717	53	1	-14	0	0	0	0
717	54	-1	-12	0	0	0	0
717	55	20	15	0	0	0	0
717	56	13	1	0	0	0	0
717	57	-13	-19	0	0	0	0
717	58	-13	15	0	0	0	0
717	59	-12	-31	0	0	0	0
717	60	9	-6	0	0	0	0
717	61	25	-22	0	0	0	0
717	62	-5	-8	0	0	0	0
717	63	11	8	0	0	0	0
717	64	-12	11	0	0	0	0
717	65	-14	0	0	0	0	0
717	66	17	-13	0	0	0	0
717	67	-7	-13	0	0	0	0
717	68	-4	-21	0	0	0	0
717	69	20	-26	0	0	0	0
717	70	-23	-1	0	0	0	0
717	71	3	-8	0	0	0	0
717	72	17	10	0	0	0	0
717	73	-6	0	0	0	0	0
717	74	5	-5	0	0	0	0
717	75	17	-2	0	0	0	0
717	76	3	1	0	0	0	0
717	77	12	-22	0	0	0	0
717	78	-11	8	0	0	0	0
717	79	5	4	0	0	0	0
717	80	22	-6	0	0	0	0
717	81	14	-1	0	0	0	0
717	82	16	-28	0	0	0	0
717	83	-8	-5	0	0	0	0
717	84	23	-3	0	0	0	0
717	85	12	-3	0	0	0	0
717	86	1	-13	0	0	0	0
717	87	39	-2	0	0	0	0
717	88	4	12	0	0	0	0
717	89	8	2	0	0	0	0
717	90	5	12	0	0	0	0
717	91	1	-1	0	0	0	0
717	92	16	8	0	0	0	0
717	93	-3	-3	0	0	0	0
717	94	-26	-24	0	0	0	0
717	95	10	-22	0	0	0	0
717	96	-2	1	0	0	0	0
717	97	5	-24	0	0	0	0
717	98	14	-19	0	0	0	0
717	99	0	-7	0	0	0	0
717	100	9	-5	0	0	0	0
718	1	20	-1	-14	5	0	0
718	2	-4	2	-12	-17	0	0
718	3	15	-9	-2	-8	0	0
718	4	-6	-8	-10	10	0	0
718	5	1	-11	-10	-17	0	0
718	6	-11	19	4	6	0	0
718	7	5	-15	-12	2	0	0
718	8	3	5	-20	0	0	0
718	9	-5	-10	-1	-10	0	0
718	10	-10	-22	-3	-7	0	0
718	11	1	14	-4	1	0	0
718	12	-2	-25	-5	-18	0	0
718	13	-4	-20	-6	-6	0	0
718	14	6	9	-7	4	0	0
718	15	7	-3	-20	-4	0	0
718	16	-9	-18	3	-1	0	0
718	17	-7	-17	-15	22	0	0
718	18	0	-30	10	-15	0	0
718	19	23	-17	2	-21	0	0
718	20	6	-4	16	-12	0	0
718	21	23	-2	-14	-7	0	0
718	22	9	-24	20	25	0	0
718	23	-12	-7	3	-11	0	0
718	24	19	-6	-6	-9	0	0
718	25	11	2	-5	-14	0	0
718	26	2	-7	11	5	0	0
718	27	1	12	2	-21	0	0
718	28	-26	-10	1	-5	0	0
718	29	-5	1	-28	-17	0	0
718	30	-3	-5	-19	-1	0	0
718	31	12	6	-12	-11	0	0
718	32	9	-20	-6	-20	0	0
718	33	-9	-3	-28	-15	0	0
718	34	22	11	-25	-28	0	0
718	35	5	-3	8	2	0	0
718	36	-9	-21	-7	-2	0	0
718	37	14	14	-1	-23	0	0
718	38	14	5	1	-18	0	0
718	39	11	-33	-5	-13	0	0
718	40	4	-21	4	-5	0	0
718	41	18	-1	-5	-11	0	0
718	42	-7	-1	-3	-5	0	0
718	43	14	15	10	-3	0	0
718	44	14	11	8	-4	0	0
718	45	0	17	-7	-11	0	0
718	46	-1	-32	-25	-21	0	0
718	47	6	11	2	-7	0	0
718	48	6	2	1	-5	0	0
718	49	7	-14	2	-15	0	0
718	50	0	7	8	1	0	0
718	51	18	-6	-8	19	0	0
718	52	-3	5	-13	-11	0	0
718	53	-19	-6	-10	2	0	0
718	54	-10	5	-10	4	0	0
718	55	-21	-13	25	9	0	0
718	56	-5	-7	6	7	0	0
718	57	-4	1	1	-15	0	0
718	58	9	-19	-13	-9	0	0
718	59	16	-7	-15	4	0	0
718	60	11	-3	5	-33	0	0
718	61	21	-11	3	4	0	0
718	62	3	16	-4	9	0	0
718	63	-7	-19	-9	-12	0	0
718	64	2	-1	-6	-13	0	0
718	65	6	-24	-3	1	0	0
718	66	21	-29	-6	8	0	0
718	67	-1	4	-5	4	0	0
718	68	1	-13	8	0	0	0
718	69	13	-7	1	-13	0	0
718	70	15	-23	-18	-5	0	0
718	71	4	-3	-10	8	0	0
718	72	14	13	-6	5	0	0
718	73	13	0	1	-14	0	0
718	74	12	-4	-6	6	0	0
718	75	19	-7	-13	-35	0	0
718	76	2	5	-2	-6	0	0
718	77	10	-18	-13	16	0	0
718	78	5	-7	-9	-3	0	0
718	79	-13	10	-32	3	0	0
718	80	31	-11	-8	-31	0	0
718	81	14	-16	-10	-2	0	0
718	82	23	0	4	-8	0	0
718	83	28	-8	7	7	0	0
718	84	5	11	-9	-7	0	0
718	85	-7	-7	-14	1	0	0
718	86	3	1	-8	8	0	0
718	87	22	3	7	-10	0	0
718	88	-7	-11	0	-3	0	0
718	89	5	-5	-26	-1	0	0
718	90	9	-28	7	1	0	0
718	91	-1	-17	8	-3	0	0
718	92	14	11	-4	-8	0	0
718	93	9	-27	-2	-18	0	0
718	94	2	-4	-20	-6	0	0
718	95	0	-8	-4	-5	0	0
718	96	2	10	12	-21	0	0
718	97	25	26	-22	16	0	0
718	98	10	-12	-7	7	0	0
718	99	-7	5	-19	-4	0	0
718	100	10	11	-9	3	0	0
719	1	22	-14	-16	-21	15	4
719	2	-13	-15	-21	-10	10	-12
719	3	16	-10	-5	-11	-1	18
719	4	6	-23	-22	-5	-16	-6
719	5	-6	-23	36	-2	3	-14
719	6	5	-5	-9	-2	2	-9
719	7	10	-14	5	-17	-23	-12
719	8	9	-11	-3	-25	-14	-5
719	9	15	2	16	-10	-21	4
719	10	3	-16	20	-19	1	-33
719	11	5	-7	-4	13	-27	-13
719	12	6	-18	-11	-6	-10	-3
719	13	1	2	-2	-15	-11	0
719	14	2	-5	-13	-9	-9	7
719	15	24	-8	-13	-7	7	-12
719	16	16	-20	8	7	-17	1
719	17	-5	5	-18	-15	-6	1
719	18	-2	0	1	-3	-10	-3
719	19	4	-14	-19	14	-10	11
719	20	4	-12	-3	4	3	-5
719	21	6	-2	-12	-8	-5	-10
719	22	5	-2	-21	8	7	7
719	23	0	22	-3	-11	-25	22
719	24	1	-18	-7	-17	15	-5
719	25	18	-13	10	-22	-21	-9
719	26	-4	-13	-33	2	5	-28
719	27	14	-6	-17	-2	-4	-19
719	28	7	-5	11	14	-10	7
719	29	-5	11	-21	-4	2	-8
719	30	-3	-11	-6	-9	9	10
719	31	9	5	-18	-18	-31	-6
719	32	11	20	2	-4	-6	-30
719	33	-3	-9	6	-7	13	9
719	34	9	-8	-5	-5	23	-17
719	35	-18	4	-9	-21	-8	-18
719	36	9	-2	-14	17	-3	2
719	37	5	-4	-15	-23	-21	1
719	38	-4	-22	5	14	0	5
719	39	25	7	-6	3	-17	-12
719	40	15	-2	-11	-8	4	18
719	41	-1	-1	-9	14	-13	2
719	42	11	-6	-2	-2	-14	-1
719	43	20	17	23	5	-9	5
719	44	-2	7	9	-27	-5	-11
719	45	11	-19	-5	2	-5	-11
719	46	-2	2	-23	-31	-14	-1
719	47	3	-11	2	-13	-2	10
719	48	-12	-15	-15	24	6	-20
719	49	4	7	3	11	-33	20
719	50	6	-14	-2	-35	5	-1
719	51	-5	3	-11	2	-23	7
719	52	12	-2	-2	-11	-3	-2
719	53	19	-24	5	-11	16	-10
719	54	29	-13	17	9	8	-16
719	55	9	-18	-5	1	-2	-4
719	56	5	-13	1	-8	-29	-11
719	57	5	8	9	-4	-6	-8
719	58	17	2	-22	-2	-21	0
719	59	12	9	7	-3	21	1
719	60	19	-2	1	-13	5	-10
719	61	-1	-5	-25	2	-3	2
719	62	-20	-13	-12	1	-13	-19
719	63	-22	16	-5	19	22	-13
719	64	7	-2	1	-2	6	9
719	65	-13	14	21	6	-5	-17
719	66	4	-21	-2	13	-22	3
719	67	18	3	-17	18	29	15
719	68	4	2	6	-10	-30	13
719	69	-8	3	1	-9	-19	-3
719	70	-4	-11	3	1	-1	-26
719	71	-18	-21	-2	2	11	19
719	72	-1	-4	-4	1	-8	-13
719	73	-2	1	-7	14	-17	-3
719	74	4	2	-3	-27	3	-11
719	75	15	-11	14	-16	-13	5
719	76	28	-23	9	-13	-3	-5
719	77	5	-1	-4	-20	-17	-2
719	78	7	38	-18	-27	2	9
719	79	-17	-26	-26	-4	10	1
719	80	17	-5	3	-10	13	-19
719	81	8	-5	-4	-7	-16	-29
719	82	10	6	-15	1	-7	-7
719	83	19	-2	-19	5	-18	-19
719	84	13	1	14	-5	7	-6
719	85	-1	5	-9	-9	-7	-2
719	86	-1	-10	-19	0	-7	-20
719	87	1	1	-7	11	-22	8
719	88	-7	-1	-1	-20	-17	-5
719	89	-7	7	-11	-26	-2	-19
719	90	15	-26	-15	-26	1	-24
719	91	3	-23	-12	0	-3	-1
719	92	25	-7	2	-4	-6	6
719	93	21	7	-22	-5	1	-15
719	94	-13	3	-17	-17	-21	-15
719	95	6	-20	-11	16	17	-14
719	96	8	-8	-18	-8	-8	-16
719	97	0	-13	-2	-5	0	-1
719	98	-13	-9	-22	-3	-12	-13
719	99	20	7	6	3	-3	-13
719	100	10	-11	5	-8	4	-16
720	1	0	-20	0	0	0	0
720	2	15	-17	0	0	0	0
720	3	19	-18	0	0	0	0
720	4	-2	-22	0	0	0	0
720	5	4	-11	0	0	0	0
720	6	3	16	0	0	0	0
720	7	-11	-12	0	0	0	0
720	8	11	-7	0	0	0	0
720	9	14	-8	0	0	0	0
720	10	-2	-13	0	0	0	0
720	11	9	6	0	0	0	0
720	12	23	-2	0	0	0	0
720	13	6	-10	0	0	0	0
720	14	8	7	0	0	0	0
720	15	15	2	0	0	0	0
720	16	-19	15	0	0	0	0
720	17	23	-7	0	0	0	0
720	18	-9	-17	0	0	0	0
720	19	20	-14	0	0	0	0
720	20	10	14	0	0	0	0
720	21	11	17	0	0	0	0
720	22	13	-1	0	0	0	0
720	23	-1	2	0	0	0	0
720	24	-3	-7	0	0	0	0
720	25	5	-7	0	0	0	0
720	26	1	-11	0	0	0	0
720	27	31	-10	0	0	0	0
720	28	10	-7	0	0	0	0
720	29	1	-11	0	0	0	0
720	30	-9	15	0	0	0	0
720	31	2	-15	0	0	0	0
720	32	5	-25	0	0	0	0
720	33	-18	-15	0	0	0	0
720	34	26	-2	0	0	0	0
720	35	-15	3	0	0	0	0
720	36	24	-4	0	0	0	0
720	37	4	2	0	0	0	0
720	38	6	7	0	0	0	0
720	39	16	-18	0	0	0	0
720	40	13	1	0	0	0	0
720	41	0	3	0	0	0	0
720	42	19	-20	0	0	0	0
720	43	9	-12	0	0	0	0
720	44	4	-10	0	0	0	0
720	45	-7	1	0	0	0	0
720	46	-16	-13	0	0	0	0
720	47	-12	4	0	0	0	0
720	48	16	16	0	0	0	0
720	49	12	-3	0	0	0	0
720	50	3	14	0	0	0	0
720	51	1	-20	0	0	0	0
720	52	-4	26	0	0	0	0
720	53	1	-14	0	0	0	0
720	54	-1	-12	0	0	0	0
720	55	20	15	0	0	0	0
720	56	13	1	0	0	0	0
720	57	-13	-19	0	0	0	0
720	58	-13	15	0	0	0	0
720	59	-12	-31	0	0	0	0
720	60	9	-6	0	0	0	0
720	61	25	-22	0	0	0	0
720	62	-5	-8	0	0	0	0
720	63	11	8	0	0	0	0
720	64	-12	11	0	0	0	0
720	65	-14	0	0	0	0	0
720	66	17	-13	0	0	0	0
720	67	-7	-13	0	0	0	0
720	68	-4	-21	0	0	0	0
720	69	20	-26	0	0	0	0
720	70	-23	-1	0	0	0	0
720	71	3	-8	0	0	0	0
720	72	17	10	0	0	0	0
720	73	-6	0	0	0	0	0
720	74	5	-5	0	0	0	0
720	75	17	-2	0	0	0	0
720	76	3	1	0	0	0	0
720	77	12	-22	0	0	0	0
720	78	-11	8	0	0	0	0
720	79	5	4	0	0	0	0
720	80	22	-6	0	0	0	0
720	81	14	-1	0	0	0	0
720	82	16	-28	0	0	0	0
720	83	-8	-5	0	0	0	0
720	84	23	-3	0	0	0	0
720	85	12	-3	0	0	0	0
720	86	1	-13	0	0	0	0
720	87	39	-2	0	0	0	0
720	88	4	12	0	0	0	0
720	89	8	2	0	0	0	0
720	90	5	12	0	0	0	0
720	91	1	-1	0	0	0	0
720	92	16	8	0	0	0	0
720	93	-3	-3	0	0	0	0
720	94	-26	-24	0	0	0	0
720	95	10	-22	0	0	0	0
720	96	-2	1	0	0	0	0
720	97	5	-24	0	0	0	0
720	98	14	-19	0	0	0	0
720	99	0	-7	0	0	0	0
720	100	9	-5	0	0	0	0
721	1	20	-1	-14	5	0	0
721	2	-4	2	-12	-17	0	0
721	3	15	-9	-2	-8	0	0
721	4	-6	-8	-10	10	0	0
721	5	1	-11	-10	-17	0	0
721	6	-11	19	4	6	0	0
721	7	5	-15	-12	2	0	0
721	8	3	5	-20	0	0	0
721	9	-5	-10	-1	-10	0	0
721	10	-10	-22	-3	-7	0	0
721	11	1	14	-4	1	0	0
721	12	-2	-25	-5	-18	0	0
721	13	-4	-20	-6	-6	0	0
721	14	6	9	-7	4	0	0
721	15	7	-3	-20	-4	0	0
721	16	-9	-18	3	-1	0	0
721	17	-7	-17	-15	22	0	0
721	18	0	-30	10	-15	0	0
721	19	23	-17	2	-21	0	0
721	20	6	-4	16	-12	0	0
721	21	23	-2	-14	-7	0	0
721	22	9	-24	20	25	0	0
721	23	-12	-7	3	-11	0	0
721	24	19	-6	-6	-9	0	0
721	25	11	2	-5	-14	0	0
721	26	2	-7	11	5	0	0
721	27	1	12	2	-21	0	0
721	28	-26	-10	1	-5	0	0
721	29	-5	1	-28	-17	0	0
721	30	-3	-5	-19	-1	0	0
721	31	12	6	-12	-11	0	0
721	32	9	-20	-6	-20	0	0
721	33	-9	-3	-28	-15	0	0
721	34	22	11	-25	-28	0	0
721	35	5	-3	8	2	0	0
721	36	-9	-21	-7	-2	0	0
721	37	14	14	-1	-23	0	0
721	38	14	5	1	-18	0	0
721	39	11	-33	-5	-13	0	0
721	40	4	-21	4	-5	0	0
721	41	18	-1	-5	-11	0	0
721	42	-7	-1	-3	-5	0	0
721	43	14	15	10	-3	0	0
721	44	14	11	8	-4	0	0
721	45	0	17	-7	-11	0	0
721	46	-1	-32	-25	-21	0	0
721	47	6	11	2	-7	0	0
721	48	6	2	1	-5	0	0
721	49	7	-14	2	-15	0	0
721	50	0	7	8	1	0	0
721	51	18	-6	-8	19	0	0
721	52	-3	5	-13	-11	0	0
721	53	-19	-6	-10	2	0	0
721	54	-10	5	-10	4	0	0
721	55	-21	-13	25	9	0	0
721	56	-5	-7	6	7	0	0
721	57	-4	1	1	-15	0	0
721	58	9	-19	-13	-9	0	0
721	59	16	-7	-15	4	0	0
721	60	11	-3	5	-33	0	0
721	61	21	-11	3	4	0	0
721	62	3	16	-4	9	0	0
721	63	-7	-19	-9	-12	0	0
721	64	2	-1	-6	-13	0	0
721	65	6	-24	-3	1	0	0
721	66	21	-29	-6	8	0	0
721	67	-1	4	-5	4	0	0
721	68	1	-13	8	0	0	0
721	69	13	-7	1	-13	0	0
721	70	15	-23	-18	-5	0	0
721	71	4	-3	-10	8	0	0
721	72	14	13	-6	5	0	0
721	73	13	0	1	-14	0	0
721	74	12	-4	-6	6	0	0
721	75	19	-7	-13	-35	0	0
721	76	2	5	-2	-6	0	0
721	77	10	-18	-13	16	0	0
721	78	5	-7	-9	-3	0	0
721	79	-13	10	-32	3	0	0
721	80	31	-11	-8	-31	0	0
721	81	14	-16	-10	-2	0	0
721	82	23	0	4	-8	0	0
721	83	28	-8	7	7	0	0
