lfdn	lastpage	duration	conditionNr	rand01	rand02	rand03	informedConsent	workerid	instrClear	bugs	howdifficult	hotCold	v_551	takenotes	usecalculator	otherhelp	ant1	ant2	ant3	ant4	sex	age	education	attentionCheck	trustdata	readinstructions
20	3645648	792	3	100	365	524	1	A1FK01GE7K8DBU	1	1	2	2	-77	1	1	1	25	20	-66	-77	2	19	2	3	1	I read the instructions
21	3645648	4183	4	765	593	570	1	A3E9A9O3CLMEW	1	2	1	2	-77	1	1	1	30	-77	-66	30	1	37	3	3	1	I read the instructions 
22	3645648	880	5	972	499	382	1	A1RTLF0OVZI4QT	1	1	3	2	-77	1	1	1	25	20	-66	-77	1	31	2	3	1	I read the instructions
23	3645648	1781	6	719	865	268	1	A13CBHSP2558HR	2	1	5	2	-77	1	1	1	25	20	-66	-77	1	29	2	1	1	-99
24	3645648	1860	7	416	502	262	1	A1F2MFSHXTGAVD	1	1	1	1	-77	1	1	1	5	-77	-66	28	1	25	4	3	1	I read the instructions
25	3645648	989	8	283	401	154	1	AHY3YAYJLTW32	1	1	1	2	-77	1	1	1	40	-77	-66	30	1	31	4	3	1	I read the instructions
26	3645648	1051	9	425	243	740	1	ADMTRXEG43HU0	1	1	5	1	-77	1	1	1	35	-77	-66	27	2	53	3	3	1	I read the instructions
27	3645648	1563	1	942	310	428	1	AIOF4ZQQ9UDZ4	1	1	1	2	-77	1	1	1	25	20	-66	-77	1	37	2	1	1	I read the instructions
28	3645648	858	2	720	417	724	1	A3EBUBRYCKB6AF	1	1	1	2	-77	1	1	1	20	-77	-66	30	1	27	4	1	1	-99
29	3645648	905	3	925	794	193	1	A3W6T1WDYXMR3	1	1	1	2	-77	1	1	1	25	20	-66	-77	1	22	2	3	1	I read the instructions
31	3645648	781	5	367	798	989	1	A154X03NKVZZL1	1	1	2	1	-77	1	1	1	50	-77	-66	25	1	30	4	1	1	-99
32	3645648	1339	6	797	916	290	1	AIJUY02ENAH9U	1	1	2	1	-77	1	1	1	25	20	-66	-77	2	31	2	3	1	I read the instructions
33	3645648	1635	7	318	756	925	1	A2J5DN5UMU0A3Z	1	1	3	2	-77	1	1	1	10	-77	-66	3	2	28	3	3	1	I read the instructions
34	3645648	866	8	687	124	262	1	A2J5DN5UMU0A3Z	1	1	4	2	-77	1	1	1	5	-77	-66	3	2	28	3	3	1	I read the instructions
35	3645648	1587	9	437	499	186	1	jhgflz	1	2	1	1	-77	1	1	1	35	-77	-66	20	2	22	3	2	2	-99
36	3645648	1269	1	819	791	498	1	A14ATQ0J5B0VOX	1	1	4	1	1	1	1	1	40	-77	-66	34	2	31	5	2	1	-99
37	3645648	936	2	465	516	185	1	A1OU9O4WETRJBL	1	1	2	2	1	1	1	1	25	20	-66	-77	1	33	4	1	1	-99
38	3645648	-1	3	153	889	286	1	AEB72FEOL6E1P	1	1	2	2	1	1	1	1	25	24	50	-77	2	24	5	3	1	I read the instructions
39	3645648	1526	4	939	439	178	1	A3EEAG6KPMSKB7	1	1	3	1	1	1	1	1	20	-77	-66	30	1	35	2	1	1	-99
40	3645648	1323	5	454	325	164	1	A37DTVGS7RX6AG	1	1	4	2	1	1	1	1	5	-77	-66	30	2	64	2	1	1	-99
41	3645648	-1	6	405	423	802	1	A2Q1YS118AO2BP	1	1	4	2	1	1	1	1	20	-77	-66	40	1	30	4	3	1	I read the instructions
42	3645648	1718	7	793	830	775	1	A12PR5DPEZ5I3U	2	1	4	1	1	1	1	1	10	-77	-66	30	1	32	2	3	1	I read the instructions
43	3645648	720	8	726	834	990	1	A3H48TMCITL94X	1	1	4	1	1	1	1	1	20	-77	-66	20	2	29	2	3	1	I read the instructions
44	3645648	1275	9	696	626	945	1	A3JUUZNOBV9ODB	1	1	2	2	2	1	1	1	20	-77	-66	35	2	29	5	3	1	I read the instructions
