gameid	order	A	B	C	D	E	F
690	38	27	-8	-32	-8	0	0
690	39	20	-13	-25	2	0	0
690	40	11	-20	-7	-11	0	0
690	41	12	-11	-23	-3	0	0
690	42	4	1	-8	-21	0	0
690	43	20	-10	-12	-8	0	0
690	44	14	-9	4	3	0	0
690	45	-4	10	-4	-21	0	0
690	46	7	-6	3	-4	0	0
690	47	9	5	13	-2	0	0
690	48	8	-17	-11	-18	0	0
690	49	3	-18	-6	-10	0	0
690	50	-10	0	-9	-8	0	0
690	51	2	3	13	-15	0	0
690	52	2	8	-1	8	0	0
690	53	-11	8	-9	0	0	0
690	54	12	-29	19	-16	0	0
690	55	-8	4	-7	0	0	0
690	56	7	-12	0	7	0	0
690	57	19	-12	-19	2	0	0
690	58	1	-17	8	-22	0	0
690	59	13	-5	8	3	0	0
690	60	-9	-15	3	1	0	0
690	61	5	-6	-15	-4	0	0
690	62	-3	-39	-4	1	0	0
690	63	13	-4	-3	-5	0	0
690	64	11	-10	7	-10	0	0
690	65	7	-14	-14	-5	0	0
690	66	5	10	-29	-9	0	0
690	67	6	-10	4	-15	0	0
690	68	-12	7	-8	21	0	0
690	69	14	0	-13	8	0	0
690	70	27	-12	7	9	0	0
690	71	-4	9	-5	-10	0	0
690	72	24	-3	-14	-3	0	0
690	73	14	2	4	-16	0	0
690	74	8	2	-22	-7	0	0
690	75	-9	-1	-1	-7	0	0
690	76	8	18	-6	-6	0	0
690	77	-8	-1	-18	5	0	0
690	78	-5	5	7	-11	0	0
690	79	-7	-15	-3	1	0	0
690	80	-5	-10	4	-6	0	0
690	81	2	-19	-1	-4	0	0
690	82	7	-5	1	-3	0	0
690	83	0	-3	1	-3	0	0
690	84	-10	-6	5	4	0	0
690	85	-7	-13	-11	12	0	0
690	86	20	0	-13	-15	0	0
690	87	-7	-6	-1	7	0	0
690	88	10	15	-16	2	0	0
690	89	12	5	-5	-24	0	0
690	90	3	8	-5	1	0	0
690	91	2	5	1	-24	0	0
690	92	18	5	10	-17	0	0
690	93	-13	-2	-25	-16	0	0
690	94	25	-20	-12	2	0	0
690	95	-10	-5	-18	-3	0	0
690	96	17	7	15	-8	0	0
690	97	29	-14	-15	-9	0	0
690	98	5	-15	15	6	0	0
690	99	-2	0	-9	4	0	0
690	100	1	-14	6	0	0	0
691	1	-8	-4	4	7	6	1
691	2	2	-5	11	-2	-11	5
691	3	7	-16	-13	15	7	5
691	4	-5	-23	-1	-14	10	-8
691	5	8	-11	-26	5	2	-6
691	6	7	-9	7	-7	9	-10
691	7	9	-5	-6	1	10	-10
691	8	5	-5	-4	-6	2	-1
691	9	0	0	-13	-7	0	-7
691	10	9	8	-11	-5	16	1
691	11	-1	-25	-18	3	-14	-1
691	12	8	1	-10	-2	-7	14
691	13	-5	-7	-28	13	-17	-10
691	14	18	-16	6	-5	-7	-17
691	15	-2	-7	-8	-11	0	-18
691	16	6	5	-2	-9	-4	-10
691	17	-16	-6	7	1	-8	3
691	18	-1	-4	-8	13	-16	-18
691	19	-4	5	-7	4	6	-18
691	20	-6	6	-7	-5	-18	-11
691	21	25	-30	6	13	6	-2
691	22	23	-14	-12	-8	-21	0
691	23	14	-13	-14	-13	8	7
691	24	20	-7	-3	-13	-18	2
691	25	-8	-15	-21	-3	-10	-3
691	26	0	-1	3	-25	-13	-14
691	27	14	4	-7	7	-18	-6
691	28	1	14	16	-7	-16	-17
691	29	-16	-3	3	0	-1	-6
691	30	3	-16	-7	-14	15	18
691	31	19	8	5	0	-7	-1
691	32	19	-5	-12	-8	-27	-1
691	33	13	1	1	-18	-18	-7
691	34	2	-6	-7	-27	-22	-2
691	35	2	-1	-14	2	-5	-1
691	36	1	-8	1	6	-19	7
691	37	23	-9	-18	-8	-8	-1
691	38	3	-22	2	-17	8	10
691	39	2	-21	-9	-7	-17	-16
691	40	14	6	-14	-9	-4	1
691	41	6	-10	16	-9	-14	-15
691	42	4	6	15	-15	10	-11
691	43	-2	4	-10	5	9	-12
691	44	1	8	-2	-8	-14	-17
691	45	12	-11	-18	-11	-4	-7
691	46	5	5	-10	-9	-5	-10
691	47	-1	-1	7	-2	6	-7
691	48	9	-19	2	1	-7	-23
691	49	6	-15	-10	-7	-8	-8
691	50	-18	9	-4	-9	1	-17
691	51	12	-1	-4	7	-5	3
691	52	0	-4	-4	10	-6	3
691	53	1	-2	3	-11	6	3
691	54	-1	14	0	-2	-6	-24
691	55	18	4	2	5	15	-12
691	56	18	0	-3	-16	-20	6
691	57	21	-14	-12	1	-8	-15
691	58	15	-9	-14	0	-2	7
691	59	14	3	-23	-12	4	-3
691	60	-2	-11	12	-11	4	13
691	61	5	-1	-2	-3	-2	-20
691	62	11	-10	7	-12	-2	11
691	63	-4	-10	-16	-18	8	-20
691	64	15	5	-22	3	-22	-1
691	65	5	-8	-5	3	-12	3
691	66	-1	3	0	-3	-8	0
691	67	-12	-7	-7	-20	-9	10
691	68	-3	3	0	-4	-6	8
691	69	7	-11	-15	-13	-3	-20
691	70	6	-18	0	-10	2	5
691	71	9	-17	-11	7	0	1
691	72	9	7	0	-1	7	1
691	73	6	-25	-11	-20	-20	-27
691	74	15	-12	-4	1	-4	-6
691	75	13	5	-6	-8	-28	-17
691	76	6	2	11	1	-22	-13
691	77	-7	-9	-15	-5	-1	-6
691	78	9	-6	10	-2	-12	-7
691	79	-4	-2	11	-5	10	-3
691	80	7	0	-8	-13	-4	12
691	81	5	-14	2	-2	-14	-8
691	82	-8	-2	-10	-27	-9	-10
691	83	-2	-14	-6	1	0	-4
691	84	11	-23	-12	-7	-17	-6
691	85	-19	-4	-9	1	-4	9
691	86	17	-11	-6	6	-2	-14
691	87	13	-6	-10	1	-10	-3
691	88	5	0	-21	-12	-12	14
691	89	9	-20	-7	-19	7	-11
691	90	11	2	-4	-3	-11	-32
691	91	-15	-9	3	-10	11	1
691	92	3	-9	9	-22	-19	-6
691	93	24	4	4	10	8	-4
691	94	-4	-10	-5	-13	5	-9
691	95	6	3	-5	-10	7	5
691	96	4	-1	-27	13	-11	-5
691	97	4	6	-4	-17	-4	-5
691	98	10	11	-34	14	-22	-5
691	99	6	0	2	0	-6	-24
691	100	3	4	8	-27	-5	4
692	1	20	-14	0	0	0	0
692	2	5	-7	0	0	0	0
692	3	1	-14	0	0	0	0
692	4	14	3	0	0	0	0
692	5	3	-11	0	0	0	0
692	6	-10	-27	0	0	0	0
692	7	4	9	0	0	0	0
692	8	3	6	0	0	0	0
692	9	11	16	0	0	0	0
692	10	0	-3	0	0	0	0
692	11	-2	-4	0	0	0	0
692	12	-6	-20	0	0	0	0
692	13	5	2	0	0	0	0
692	14	9	13	0	0	0	0
692	15	3	-14	0	0	0	0
692	16	2	-10	0	0	0	0
692	17	16	1	0	0	0	0
692	18	-9	2	0	0	0	0
692	19	16	-12	0	0	0	0
692	20	22	-3	0	0	0	0
692	21	1	-2	0	0	0	0
692	22	3	-5	0	0	0	0
692	23	13	-11	0	0	0	0
692	24	-8	-17	0	0	0	0
692	25	-2	1	0	0	0	0
692	26	13	-6	0	0	0	0
692	27	-6	-2	0	0	0	0
692	28	13	7	0	0	0	0
692	29	13	-2	0	0	0	0
692	30	0	-2	0	0	0	0
692	31	-2	7	0	0	0	0
692	32	10	6	0	0	0	0
692	33	-8	-20	0	0	0	0
692	34	10	-3	0	0	0	0
692	35	6	7	0	0	0	0
692	36	-2	-10	0	0	0	0
692	37	15	-5	0	0	0	0
692	38	9	-10	0	0	0	0
692	39	-16	-10	0	0	0	0
692	40	4	23	0	0	0	0
692	41	19	-3	0	0	0	0
692	42	0	-15	0	0	0	0
692	43	19	-18	0	0	0	0
692	44	8	-8	0	0	0	0
692	45	-2	-2	0	0	0	0
692	46	-15	-5	0	0	0	0
692	47	7	4	0	0	0	0
692	48	5	-9	0	0	0	0
692	49	0	-8	0	0	0	0
692	50	11	-25	0	0	0	0
692	51	20	-9	0	0	0	0
692	52	5	-11	0	0	0	0
692	53	15	-17	0	0	0	0
692	54	1	-4	0	0	0	0
692	55	33	-23	0	0	0	0
692	56	5	-8	0	0	0	0
692	57	10	1	0	0	0	0
692	58	-1	-6	0	0	0	0
692	59	18	13	0	0	0	0
692	60	5	-6	0	0	0	0
692	61	-10	-1	0	0	0	0
692	62	2	-3	0	0	0	0
692	63	11	-5	0	0	0	0
692	64	22	-15	0	0	0	0
692	65	19	-7	0	0	0	0
692	66	-12	-16	0	0	0	0
692	67	3	9	0	0	0	0
692	68	-17	-16	0	0	0	0
692	69	19	-13	0	0	0	0
692	70	14	3	0	0	0	0
692	71	16	-14	0	0	0	0
692	72	-7	4	0	0	0	0
692	73	-5	-19	0	0	0	0
692	74	22	-1	0	0	0	0
692	75	-11	-18	0	0	0	0
692	76	-13	19	0	0	0	0
692	77	12	3	0	0	0	0
692	78	-12	13	0	0	0	0
692	79	17	-8	0	0	0	0
692	80	5	-9	0	0	0	0
692	81	9	3	0	0	0	0
692	82	16	-14	0	0	0	0
692	83	2	1	0	0	0	0
692	84	26	-16	0	0	0	0
692	85	7	-4	0	0	0	0
692	86	4	-21	0	0	0	0
692	87	-21	10	0	0	0	0
692	88	10	-17	0	0	0	0
692	89	-7	-8	0	0	0	0
692	90	-10	-23	0	0	0	0
692	91	7	2	0	0	0	0
692	92	7	0	0	0	0	0
692	93	1	-15	0	0	0	0
692	94	4	-20	0	0	0	0
692	95	15	0	0	0	0	0
692	96	10	0	0	0	0	0
692	97	-3	-4	0	0	0	0
692	98	4	1	0	0	0	0
692	99	-8	3	0	0	0	0
692	100	12	12	0	0	0	0
693	1	5	-15	-4	-9	0	0
693	2	-15	-11	-8	-19	0	0
693	3	-3	2	1	4	0	0
693	4	0	5	-2	-6	0	0
693	5	-13	-18	-7	-2	0	0
693	6	4	-8	-9	-7	0	0
693	7	14	-4	5	-10	0	0
693	8	8	-17	-6	-2	0	0
693	9	-6	-6	-1	-20	0	0
693	10	-4	-5	-11	-6	0	0
693	11	0	3	21	-8	0	0
693	12	23	-6	-14	-7	0	0
693	13	7	-9	-11	-10	0	0
693	14	5	-22	-8	-29	0	0
693	15	6	0	0	-3	0	0
693	16	12	16	-17	-10	0	0
693	17	3	6	-20	-15	0	0
693	18	8	-16	-11	15	0	0
693	19	15	-11	-2	10	0	0
693	20	8	19	-15	-9	0	0
693	21	-9	-19	1	5	0	0
693	22	0	-16	-7	-5	0	0
693	23	3	5	-14	6	0	0
693	24	26	1	4	10	0	0
693	25	7	9	-1	-4	0	0
693	26	19	-1	-13	-12	0	0
693	27	5	-1	8	-16	0	0
693	28	21	-16	-12	-12	0	0
693	29	1	-17	-4	11	0	0
693	30	4	0	0	1	0	0
693	31	1	-4	-13	-4	0	0
693	32	-9	-2	-11	-10	0	0
693	33	-11	-13	4	-11	0	0
693	34	9	12	-18	0	0	0
693	35	3	-6	-20	-7	0	0
693	36	2	0	6	-12	0	0
693	37	8	-25	10	3	0	0
693	38	27	-8	-32	-8	0	0
693	39	20	-13	-25	2	0	0
693	40	11	-20	-7	-11	0	0
693	41	12	-11	-23	-3	0	0
693	42	4	1	-8	-21	0	0
693	43	20	-10	-12	-8	0	0
693	44	14	-9	4	3	0	0
693	45	-4	10	-4	-21	0	0
693	46	7	-6	3	-4	0	0
693	47	9	5	13	-2	0	0
693	48	8	-17	-11	-18	0	0
693	49	3	-18	-6	-10	0	0
693	50	-10	0	-9	-8	0	0
693	51	2	3	13	-15	0	0
693	52	2	8	-1	8	0	0
693	53	-11	8	-9	0	0	0
693	54	12	-29	19	-16	0	0
693	55	-8	4	-7	0	0	0
693	56	7	-12	0	7	0	0
693	57	19	-12	-19	2	0	0
693	58	1	-17	8	-22	0	0
693	59	13	-5	8	3	0	0
693	60	-9	-15	3	1	0	0
693	61	5	-6	-15	-4	0	0
693	62	-3	-39	-4	1	0	0
693	63	13	-4	-3	-5	0	0
693	64	11	-10	7	-10	0	0
693	65	7	-14	-14	-5	0	0
693	66	5	10	-29	-9	0	0
693	67	6	-10	4	-15	0	0
693	68	-12	7	-8	21	0	0
693	69	14	0	-13	8	0	0
693	70	27	-12	7	9	0	0
693	71	-4	9	-5	-10	0	0
693	72	24	-3	-14	-3	0	0
693	73	14	2	4	-16	0	0
693	74	8	2	-22	-7	0	0
693	75	-9	-1	-1	-7	0	0
693	76	8	18	-6	-6	0	0
693	77	-8	-1	-18	5	0	0
693	78	-5	5	7	-11	0	0
693	79	-7	-15	-3	1	0	0
693	80	-5	-10	4	-6	0	0
693	81	2	-19	-1	-4	0	0
693	82	7	-5	1	-3	0	0
693	83	0	-3	1	-3	0	0
693	84	-10	-6	5	4	0	0
693	85	-7	-13	-11	12	0	0
693	86	20	0	-13	-15	0	0
693	87	-7	-6	-1	7	0	0
693	88	10	15	-16	2	0	0
693	89	12	5	-5	-24	0	0
693	90	3	8	-5	1	0	0
693	91	2	5	1	-24	0	0
693	92	18	5	10	-17	0	0
693	93	-13	-2	-25	-16	0	0
693	94	25	-20	-12	2	0	0
693	95	-10	-5	-18	-3	0	0
693	96	17	7	15	-8	0	0
693	97	29	-14	-15	-9	0	0
693	98	5	-15	15	6	0	0
693	99	-2	0	-9	4	0	0
693	100	1	-14	6	0	0	0
694	1	-8	-4	4	7	6	1
694	2	2	-5	11	-2	-11	5
694	3	7	-16	-13	15	7	5
694	4	-5	-23	-1	-14	10	-8
694	5	8	-11	-26	5	2	-6
694	6	7	-9	7	-7	9	-10
694	7	9	-5	-6	1	10	-10
694	8	5	-5	-4	-6	2	-1
694	9	0	0	-13	-7	0	-7
694	10	9	8	-11	-5	16	1
694	11	-1	-25	-18	3	-14	-1
694	12	8	1	-10	-2	-7	14
694	13	-5	-7	-28	13	-17	-10
694	14	18	-16	6	-5	-7	-17
694	15	-2	-7	-8	-11	0	-18
694	16	6	5	-2	-9	-4	-10
694	17	-16	-6	7	1	-8	3
694	18	-1	-4	-8	13	-16	-18
694	19	-4	5	-7	4	6	-18
694	20	-6	6	-7	-5	-18	-11
694	21	25	-30	6	13	6	-2
694	22	23	-14	-12	-8	-21	0
694	23	14	-13	-14	-13	8	7
694	24	20	-7	-3	-13	-18	2
694	25	-8	-15	-21	-3	-10	-3
694	26	0	-1	3	-25	-13	-14
694	27	14	4	-7	7	-18	-6
694	28	1	14	16	-7	-16	-17
694	29	-16	-3	3	0	-1	-6
694	30	3	-16	-7	-14	15	18
694	31	19	8	5	0	-7	-1
694	32	19	-5	-12	-8	-27	-1
694	33	13	1	1	-18	-18	-7
694	34	2	-6	-7	-27	-22	-2
694	35	2	-1	-14	2	-5	-1
694	36	1	-8	1	6	-19	7
694	37	23	-9	-18	-8	-8	-1
694	38	3	-22	2	-17	8	10
694	39	2	-21	-9	-7	-17	-16
694	40	14	6	-14	-9	-4	1
694	41	6	-10	16	-9	-14	-15
694	42	4	6	15	-15	10	-11
694	43	-2	4	-10	5	9	-12
694	44	1	8	-2	-8	-14	-17
694	45	12	-11	-18	-11	-4	-7
694	46	5	5	-10	-9	-5	-10
694	47	-1	-1	7	-2	6	-7
694	48	9	-19	2	1	-7	-23
694	49	6	-15	-10	-7	-8	-8
694	50	-18	9	-4	-9	1	-17
694	51	12	-1	-4	7	-5	3
694	52	0	-4	-4	10	-6	3
694	53	1	-2	3	-11	6	3
694	54	-1	14	0	-2	-6	-24
694	55	18	4	2	5	15	-12
694	56	18	0	-3	-16	-20	6
694	57	21	-14	-12	1	-8	-15
694	58	15	-9	-14	0	-2	7
694	59	14	3	-23	-12	4	-3
694	60	-2	-11	12	-11	4	13
694	61	5	-1	-2	-3	-2	-20
694	62	11	-10	7	-12	-2	11
694	63	-4	-10	-16	-18	8	-20
694	64	15	5	-22	3	-22	-1
694	65	5	-8	-5	3	-12	3
694	66	-1	3	0	-3	-8	0
694	67	-12	-7	-7	-20	-9	10
694	68	-3	3	0	-4	-6	8
694	69	7	-11	-15	-13	-3	-20
694	70	6	-18	0	-10	2	5
694	71	9	-17	-11	7	0	1
694	72	9	7	0	-1	7	1
694	73	6	-25	-11	-20	-20	-27
694	74	15	-12	-4	1	-4	-6
694	75	13	5	-6	-8	-28	-17
694	76	6	2	11	1	-22	-13
694	77	-7	-9	-15	-5	-1	-6
694	78	9	-6	10	-2	-12	-7
694	79	-4	-2	11	-5	10	-3
694	80	7	0	-8	-13	-4	12
694	81	5	-14	2	-2	-14	-8
694	82	-8	-2	-10	-27	-9	-10
694	83	-2	-14	-6	1	0	-4
694	84	11	-23	-12	-7	-17	-6
694	85	-19	-4	-9	1	-4	9
694	86	17	-11	-6	6	-2	-14
694	87	13	-6	-10	1	-10	-3
694	88	5	0	-21	-12	-12	14
694	89	9	-20	-7	-19	7	-11
694	90	11	2	-4	-3	-11	-32
694	91	-15	-9	3	-10	11	1
694	92	3	-9	9	-22	-19	-6
694	93	24	4	4	10	8	-4
694	94	-4	-10	-5	-13	5	-9
694	95	6	3	-5	-10	7	5
694	96	4	-1	-27	13	-11	-5
694	97	4	6	-4	-17	-4	-5
694	98	10	11	-34	14	-22	-5
694	99	6	0	2	0	-6	-24
694	100	3	4	8	-27	-5	4
