"environment"	"difficulty"	"option.order"	"trial"	"a"	"b"	"c"
"2381"	"dynamic"	"easy"	"bgm"	100	-11	-7	-3
"2405"	"dynamic"	"easy"	"bgm"	101	5	5	4
"2429"	"dynamic"	"easy"	"bgm"	102	-4	2	5
"2453"	"dynamic"	"easy"	"bgm"	103	7	-15	5
"2477"	"dynamic"	"easy"	"bgm"	104	-3	16	-1
"2501"	"dynamic"	"easy"	"bgm"	105	11	6	1
"2525"	"dynamic"	"easy"	"bgm"	106	-16	7	0
"2549"	"dynamic"	"easy"	"bgm"	107	6	-20	-14
"2573"	"dynamic"	"easy"	"bgm"	108	4	-16	10
"2597"	"dynamic"	"easy"	"bgm"	109	16	-12	0
"2621"	"dynamic"	"easy"	"bgm"	110	29	-16	0
"2645"	"dynamic"	"easy"	"bgm"	111	10	1	-5
"2669"	"dynamic"	"easy"	"bgm"	112	-1	0	-8
"2693"	"dynamic"	"easy"	"bgm"	113	11	13	12
"2717"	"dynamic"	"easy"	"bgm"	114	13	11	-5
"2741"	"dynamic"	"easy"	"bgm"	115	8	-17	-3
"2765"	"dynamic"	"easy"	"bgm"	116	10	-6	-12
"2789"	"dynamic"	"easy"	"bgm"	117	22	-13	-16
"2813"	"dynamic"	"easy"	"bgm"	118	-7	11	2
"2837"	"dynamic"	"easy"	"bgm"	119	1	0	17
"2861"	"dynamic"	"easy"	"bgm"	120	22	-10	7
"2885"	"dynamic"	"easy"	"bgm"	121	1	-10	0
"2909"	"dynamic"	"easy"	"bgm"	122	10	7	16
"2933"	"dynamic"	"easy"	"bgm"	123	-4	3	-17
"2957"	"dynamic"	"easy"	"bgm"	124	6	-16	-12
"2981"	"dynamic"	"easy"	"bgm"	125	6	4	13
"3005"	"dynamic"	"easy"	"bgm"	126	0	2	-13
"3029"	"dynamic"	"easy"	"bgm"	127	0	-3	27
"3053"	"dynamic"	"easy"	"bgm"	128	-1	2	-3
"3077"	"dynamic"	"easy"	"bgm"	129	7	1	-5
"3101"	"dynamic"	"easy"	"bgm"	130	-1	-9	9
"3125"	"dynamic"	"easy"	"bgm"	131	-3	5	4
"3149"	"dynamic"	"easy"	"bgm"	132	4	4	-13
"3173"	"dynamic"	"easy"	"bgm"	133	12	-4	12
"3197"	"dynamic"	"easy"	"bgm"	134	-7	-5	-11
"3221"	"dynamic"	"easy"	"bgm"	135	9	-7	3
"3245"	"dynamic"	"easy"	"bgm"	136	2	7	-1
"3269"	"dynamic"	"easy"	"bgm"	137	10	-4	-6
"3293"	"dynamic"	"easy"	"bgm"	138	4	-30	14
"3317"	"dynamic"	"easy"	"bgm"	139	-14	-16	-8
"3341"	"dynamic"	"easy"	"bgm"	140	-7	-5	10
"3365"	"dynamic"	"easy"	"bgm"	141	15	-12	18
"3389"	"dynamic"	"easy"	"bgm"	142	20	-11	10
"3413"	"dynamic"	"easy"	"bgm"	143	-6	3	-5
"3437"	"dynamic"	"easy"	"bgm"	144	-2	-10	-16
"3461"	"dynamic"	"easy"	"bgm"	145	13	-13	13
"3485"	"dynamic"	"easy"	"bgm"	146	20	8	8
"3509"	"dynamic"	"easy"	"bgm"	147	-4	-5	-11
"3533"	"dynamic"	"easy"	"bgm"	148	5	-12	-10
"3557"	"dynamic"	"easy"	"bgm"	149	-3	-10	-4
"3581"	"dynamic"	"easy"	"bgm"	150	-2	-4	-3
"3605"	"dynamic"	"easy"	"bgm"	151	8	3	4
"3629"	"dynamic"	"easy"	"bgm"	152	3	-5	-2
"3653"	"dynamic"	"easy"	"bgm"	153	13	-7	6
"3677"	"dynamic"	"easy"	"bgm"	154	-10	-2	11
"3701"	"dynamic"	"easy"	"bgm"	155	2	-19	2
"3725"	"dynamic"	"easy"	"bgm"	156	20	-11	-12
"3749"	"dynamic"	"easy"	"bgm"	157	-15	-3	-5
"3773"	"dynamic"	"easy"	"bgm"	158	-12	-6	3
"3797"	"dynamic"	"easy"	"bgm"	159	8	0	-13
"3821"	"dynamic"	"easy"	"bgm"	160	20	-16	-14
"3845"	"dynamic"	"easy"	"bgm"	161	12	-4	1
"3869"	"dynamic"	"easy"	"bgm"	162	-6	-2	9
"3893"	"dynamic"	"easy"	"bgm"	163	10	-24	-8
"3917"	"dynamic"	"easy"	"bgm"	164	16	-3	9
"3941"	"dynamic"	"easy"	"bgm"	165	8	-9	14
"3965"	"dynamic"	"easy"	"bgm"	166	5	22	-5
"3989"	"dynamic"	"easy"	"bgm"	167	18	5	-1
"4013"	"dynamic"	"easy"	"bgm"	168	-15	-15	7
"4037"	"dynamic"	"easy"	"bgm"	169	-6	0	2
"4061"	"dynamic"	"easy"	"bgm"	170	4	-8	-1
"4085"	"dynamic"	"easy"	"bgm"	171	-4	-10	-4
"4109"	"dynamic"	"easy"	"bgm"	172	9	-1	-1
"4133"	"dynamic"	"easy"	"bgm"	173	4	-17	-3
"4157"	"dynamic"	"easy"	"bgm"	174	11	-22	-5
"4181"	"dynamic"	"easy"	"bgm"	175	-1	6	2
"4205"	"dynamic"	"easy"	"bgm"	176	15	-5	12
"4229"	"dynamic"	"easy"	"bgm"	177	4	-10	-28
"4253"	"dynamic"	"easy"	"bgm"	178	15	-26	-13
"4277"	"dynamic"	"easy"	"bgm"	179	6	-23	-9
"4301"	"dynamic"	"easy"	"bgm"	180	3	-20	-2
"4325"	"dynamic"	"easy"	"bgm"	181	23	-8	19
"4349"	"dynamic"	"easy"	"bgm"	182	-2	-4	10
"4373"	"dynamic"	"easy"	"bgm"	183	-4	2	-5
"4397"	"dynamic"	"easy"	"bgm"	184	7	-2	-11
"4421"	"dynamic"	"easy"	"bgm"	185	5	12	1
"4445"	"dynamic"	"easy"	"bgm"	186	7	-12	15
"4469"	"dynamic"	"easy"	"bgm"	187	18	-16	-17
"4493"	"dynamic"	"easy"	"bgm"	188	24	-5	1
"4517"	"dynamic"	"easy"	"bgm"	189	-16	-2	4
"4541"	"dynamic"	"easy"	"bgm"	190	30	-1	-1
"4565"	"dynamic"	"easy"	"bgm"	191	4	8	-1
"4589"	"dynamic"	"easy"	"bgm"	192	8	-11	7
"4613"	"dynamic"	"easy"	"bgm"	193	2	-3	6
"4637"	"dynamic"	"easy"	"bgm"	194	14	-10	0
"4661"	"dynamic"	"easy"	"bgm"	195	-4	-6	-8
"4685"	"dynamic"	"easy"	"bgm"	196	-9	-20	0
"4709"	"dynamic"	"easy"	"bgm"	197	8	-9	3
"4733"	"dynamic"	"easy"	"bgm"	198	4	8	4
"4757"	"dynamic"	"easy"	"bgm"	199	-9	-3	-2
"4781"	"dynamic"	"easy"	"bgm"	200	14	7	-4
"1"	"dynamic"	"easy"	"bmg"	1	-10	9	8
"25"	"dynamic"	"easy"	"bmg"	2	-37	1	14
"49"	"dynamic"	"easy"	"bmg"	3	9	9	5
"73"	"dynamic"	"easy"	"bmg"	4	9	7	9
"97"	"dynamic"	"easy"	"bmg"	5	-2	-2	15
"121"	"dynamic"	"easy"	"bmg"	6	-5	4	1
"145"	"dynamic"	"easy"	"bmg"	7	-26	12	-33
"169"	"dynamic"	"easy"	"bmg"	8	-6	1	7
"193"	"dynamic"	"easy"	"bmg"	9	-6	-12	-6
"217"	"dynamic"	"easy"	"bmg"	10	3	-4	9
"241"	"dynamic"	"easy"	"bmg"	11	15	-6	14
"265"	"dynamic"	"easy"	"bmg"	12	-18	-8	29
"289"	"dynamic"	"easy"	"bmg"	13	-21	9	-4
"313"	"dynamic"	"easy"	"bmg"	14	-1	1	-13
"337"	"dynamic"	"easy"	"bmg"	15	-13	-15	8
"361"	"dynamic"	"easy"	"bmg"	16	12	5	-13
"385"	"dynamic"	"easy"	"bmg"	17	-4	-11	-9
"409"	"dynamic"	"easy"	"bmg"	18	7	-6	0
"433"	"dynamic"	"easy"	"bmg"	19	5	-29	5
"457"	"dynamic"	"easy"	"bmg"	20	-2	-16	-2
"481"	"dynamic"	"easy"	"bmg"	21	-13	-14	-3
"505"	"dynamic"	"easy"	"bmg"	22	7	-13	8
"529"	"dynamic"	"easy"	"bmg"	23	-14	-11	13
"553"	"dynamic"	"easy"	"bmg"	24	2	11	3
"577"	"dynamic"	"easy"	"bmg"	25	10	-3	7
"601"	"dynamic"	"easy"	"bmg"	26	-11	-3	20
"625"	"dynamic"	"easy"	"bmg"	27	4	-8	21
"649"	"dynamic"	"easy"	"bmg"	28	-15	-2	4
"673"	"dynamic"	"easy"	"bmg"	29	-20	-1	16
"697"	"dynamic"	"easy"	"bmg"	30	2	-11	3
"721"	"dynamic"	"easy"	"bmg"	31	-8	-2	29
"745"	"dynamic"	"easy"	"bmg"	32	-2	18	0
"769"	"dynamic"	"easy"	"bmg"	33	-14	-14	-12
"793"	"dynamic"	"easy"	"bmg"	34	-8	-14	-7
"817"	"dynamic"	"easy"	"bmg"	35	-3	-4	12
"841"	"dynamic"	"easy"	"bmg"	36	-8	15	-11
"865"	"dynamic"	"easy"	"bmg"	37	-13	10	8
"889"	"dynamic"	"easy"	"bmg"	38	-5	17	14
"913"	"dynamic"	"easy"	"bmg"	39	-26	13	8
"937"	"dynamic"	"easy"	"bmg"	40	-6	-11	1
"961"	"dynamic"	"easy"	"bmg"	41	-7	2	29
"985"	"dynamic"	"easy"	"bmg"	42	12	-5	-12
"1009"	"dynamic"	"easy"	"bmg"	43	-6	-3	4
"1033"	"dynamic"	"easy"	"bmg"	44	-15	-16	11
"1057"	"dynamic"	"easy"	"bmg"	45	-17	6	-5
"1081"	"dynamic"	"easy"	"bmg"	46	-7	-7	1
"1105"	"dynamic"	"easy"	"bmg"	47	-17	4	2
"1129"	"dynamic"	"easy"	"bmg"	48	-13	-5	-4
"1153"	"dynamic"	"easy"	"bmg"	49	-5	-9	3
"1177"	"dynamic"	"easy"	"bmg"	50	-3	-16	21
"1201"	"dynamic"	"easy"	"bmg"	51	1	4	2
"1225"	"dynamic"	"easy"	"bmg"	52	-7	-3	15
"1249"	"dynamic"	"easy"	"bmg"	53	-14	9	-6
"1273"	"dynamic"	"easy"	"bmg"	54	-10	1	5
"1297"	"dynamic"	"easy"	"bmg"	55	-13	1	9
"1321"	"dynamic"	"easy"	"bmg"	56	-19	16	-4
"1345"	"dynamic"	"easy"	"bmg"	57	3	0	14
"1369"	"dynamic"	"easy"	"bmg"	58	-5	9	16
"1393"	"dynamic"	"easy"	"bmg"	59	0	14	2
"1417"	"dynamic"	"easy"	"bmg"	60	-21	-7	-2
"1441"	"dynamic"	"easy"	"bmg"	61	10	-9	7
"1465"	"dynamic"	"easy"	"bmg"	62	3	15	23
"1489"	"dynamic"	"easy"	"bmg"	63	-18	-13	16
"1513"	"dynamic"	"easy"	"bmg"	64	-4	2	27
"1537"	"dynamic"	"easy"	"bmg"	65	-9	-9	-8
"1561"	"dynamic"	"easy"	"bmg"	66	15	6	0
"1585"	"dynamic"	"easy"	"bmg"	67	1	1	19
"1609"	"dynamic"	"easy"	"bmg"	68	2	11	5
"1633"	"dynamic"	"easy"	"bmg"	69	3	-3	-12
"1657"	"dynamic"	"easy"	"bmg"	70	3	19	14
"1681"	"dynamic"	"easy"	"bmg"	71	-8	-5	12
"1705"	"dynamic"	"easy"	"bmg"	72	0	4	6
"1729"	"dynamic"	"easy"	"bmg"	73	2	-6	17
"1753"	"dynamic"	"easy"	"bmg"	74	-9	-20	21
"1777"	"dynamic"	"easy"	"bmg"	75	-11	1	1
"1801"	"dynamic"	"easy"	"bmg"	76	-11	9	1
"1825"	"dynamic"	"easy"	"bmg"	77	-5	-17	24
"1849"	"dynamic"	"easy"	"bmg"	78	-4	29	11
"1873"	"dynamic"	"easy"	"bmg"	79	-11	-12	4
"1897"	"dynamic"	"easy"	"bmg"	80	7	16	2
"1921"	"dynamic"	"easy"	"bmg"	81	-8	3	-1
"1945"	"dynamic"	"easy"	"bmg"	82	8	9	-6
"1969"	"dynamic"	"easy"	"bmg"	83	-3	-4	11
"1993"	"dynamic"	"easy"	"bmg"	84	9	11	16
"2017"	"dynamic"	"easy"	"bmg"	85	-1	5	-2
"2041"	"dynamic"	"easy"	"bmg"	86	1	5	8
"2065"	"dynamic"	"easy"	"bmg"	87	6	0	7
"2089"	"dynamic"	"easy"	"bmg"	88	-6	-5	6
"2113"	"dynamic"	"easy"	"bmg"	89	-6	11	2
"2137"	"dynamic"	"easy"	"bmg"	90	-5	-11	0
"2161"	"dynamic"	"easy"	"bmg"	91	-9	-2	-11
"2185"	"dynamic"	"easy"	"bmg"	92	-4	2	2
"2209"	"dynamic"	"easy"	"bmg"	93	-11	-3	6
"2233"	"dynamic"	"easy"	"bmg"	94	-22	12	-15
"2257"	"dynamic"	"easy"	"bmg"	95	-4	9	-10
"2281"	"dynamic"	"easy"	"bmg"	96	-1	-3	9
"2305"	"dynamic"	"easy"	"bmg"	97	8	10	-8
"2329"	"dynamic"	"easy"	"bmg"	98	2	4	7
"2353"	"dynamic"	"easy"	"bmg"	99	-1	13	15
"2377"	"dynamic"	"easy"	"bmg"	100	-11	-3	-7
"2401"	"dynamic"	"easy"	"bmg"	101	5	4	5
"2425"	"dynamic"	"easy"	"bmg"	102	-4	5	2
"2449"	"dynamic"	"easy"	"bmg"	103	7	5	-15
"2473"	"dynamic"	"easy"	"bmg"	104	-3	-1	16
"2497"	"dynamic"	"easy"	"bmg"	105	11	1	6
"2521"	"dynamic"	"easy"	"bmg"	106	-16	0	7
"2545"	"dynamic"	"easy"	"bmg"	107	6	-14	-20
"2569"	"dynamic"	"easy"	"bmg"	108	4	10	-16
"2593"	"dynamic"	"easy"	"bmg"	109	16	0	-12
"2617"	"dynamic"	"easy"	"bmg"	110	29	0	-16
"2641"	"dynamic"	"easy"	"bmg"	111	10	-5	1
"2665"	"dynamic"	"easy"	"bmg"	112	-1	-8	0
"2689"	"dynamic"	"easy"	"bmg"	113	11	12	13
"2713"	"dynamic"	"easy"	"bmg"	114	13	-5	11
"2737"	"dynamic"	"easy"	"bmg"	115	8	-3	-17
"2761"	"dynamic"	"easy"	"bmg"	116	10	-12	-6
"2785"	"dynamic"	"easy"	"bmg"	117	22	-16	-13
"2809"	"dynamic"	"easy"	"bmg"	118	-7	2	11
"2833"	"dynamic"	"easy"	"bmg"	119	1	17	0
"2857"	"dynamic"	"easy"	"bmg"	120	22	7	-10
"2881"	"dynamic"	"easy"	"bmg"	121	1	0	-10
"2905"	"dynamic"	"easy"	"bmg"	122	10	16	7
"2929"	"dynamic"	"easy"	"bmg"	123	-4	-17	3
"2953"	"dynamic"	"easy"	"bmg"	124	6	-12	-16
"2977"	"dynamic"	"easy"	"bmg"	125	6	13	4
"3001"	"dynamic"	"easy"	"bmg"	126	0	-13	2
"3025"	"dynamic"	"easy"	"bmg"	127	0	27	-3
"3049"	"dynamic"	"easy"	"bmg"	128	-1	-3	2
"3073"	"dynamic"	"easy"	"bmg"	129	7	-5	1
"3097"	"dynamic"	"easy"	"bmg"	130	-1	9	-9
"3121"	"dynamic"	"easy"	"bmg"	131	-3	4	5
"3145"	"dynamic"	"easy"	"bmg"	132	4	-13	4
"3169"	"dynamic"	"easy"	"bmg"	133	12	12	-4
"3193"	"dynamic"	"easy"	"bmg"	134	-7	-11	-5
"3217"	"dynamic"	"easy"	"bmg"	135	9	3	-7
"3241"	"dynamic"	"easy"	"bmg"	136	2	-1	7
"3265"	"dynamic"	"easy"	"bmg"	137	10	-6	-4
"3289"	"dynamic"	"easy"	"bmg"	138	4	14	-30
"3313"	"dynamic"	"easy"	"bmg"	139	-14	-8	-16
"3337"	"dynamic"	"easy"	"bmg"	140	-7	10	-5
"3361"	"dynamic"	"easy"	"bmg"	141	15	18	-12
"3385"	"dynamic"	"easy"	"bmg"	142	20	10	-11
"3409"	"dynamic"	"easy"	"bmg"	143	-6	-5	3
"3433"	"dynamic"	"easy"	"bmg"	144	-2	-16	-10
"3457"	"dynamic"	"easy"	"bmg"	145	13	13	-13
"3481"	"dynamic"	"easy"	"bmg"	146	20	8	8
"3505"	"dynamic"	"easy"	"bmg"	147	-4	-11	-5
"3529"	"dynamic"	"easy"	"bmg"	148	5	-10	-12
"3553"	"dynamic"	"easy"	"bmg"	149	-3	-4	-10
"3577"	"dynamic"	"easy"	"bmg"	150	-2	-3	-4
"3601"	"dynamic"	"easy"	"bmg"	151	8	4	3
"3625"	"dynamic"	"easy"	"bmg"	152	3	-2	-5
"3649"	"dynamic"	"easy"	"bmg"	153	13	6	-7
"3673"	"dynamic"	"easy"	"bmg"	154	-10	11	-2
"3697"	"dynamic"	"easy"	"bmg"	155	2	2	-19
"3721"	"dynamic"	"easy"	"bmg"	156	20	-12	-11
"3745"	"dynamic"	"easy"	"bmg"	157	-15	-5	-3
"3769"	"dynamic"	"easy"	"bmg"	158	-12	3	-6
"3793"	"dynamic"	"easy"	"bmg"	159	8	-13	0
"3817"	"dynamic"	"easy"	"bmg"	160	20	-14	-16
"3841"	"dynamic"	"easy"	"bmg"	161	12	1	-4
"3865"	"dynamic"	"easy"	"bmg"	162	-6	9	-2
"3889"	"dynamic"	"easy"	"bmg"	163	10	-8	-24
"3913"	"dynamic"	"easy"	"bmg"	164	16	9	-3
"3937"	"dynamic"	"easy"	"bmg"	165	8	14	-9
"3961"	"dynamic"	"easy"	"bmg"	166	5	-5	22
"3985"	"dynamic"	"easy"	"bmg"	167	18	-1	5
"4009"	"dynamic"	"easy"	"bmg"	168	-15	7	-15
"4033"	"dynamic"	"easy"	"bmg"	169	-6	2	0
"4057"	"dynamic"	"easy"	"bmg"	170	4	-1	-8
"4081"	"dynamic"	"easy"	"bmg"	171	-4	-4	-10
"4105"	"dynamic"	"easy"	"bmg"	172	9	-1	-1
"4129"	"dynamic"	"easy"	"bmg"	173	4	-3	-17
"4153"	"dynamic"	"easy"	"bmg"	174	11	-5	-22
"4177"	"dynamic"	"easy"	"bmg"	175	-1	2	6
"4201"	"dynamic"	"easy"	"bmg"	176	15	12	-5
"4225"	"dynamic"	"easy"	"bmg"	177	4	-28	-10
"4249"	"dynamic"	"easy"	"bmg"	178	15	-13	-26
"4273"	"dynamic"	"easy"	"bmg"	179	6	-9	-23
"4297"	"dynamic"	"easy"	"bmg"	180	3	-2	-20
"4321"	"dynamic"	"easy"	"bmg"	181	23	19	-8
"4345"	"dynamic"	"easy"	"bmg"	182	-2	10	-4
"4369"	"dynamic"	"easy"	"bmg"	183	-4	-5	2
"4393"	"dynamic"	"easy"	"bmg"	184	7	-11	-2
"4417"	"dynamic"	"easy"	"bmg"	185	5	1	12
"4441"	"dynamic"	"easy"	"bmg"	186	7	15	-12
"4465"	"dynamic"	"easy"	"bmg"	187	18	-17	-16
"4489"	"dynamic"	"easy"	"bmg"	188	24	1	-5
"4513"	"dynamic"	"easy"	"bmg"	189	-16	4	-2
"4537"	"dynamic"	"easy"	"bmg"	190	30	-1	-1
"4561"	"dynamic"	"easy"	"bmg"	191	4	-1	8
"4585"	"dynamic"	"easy"	"bmg"	192	8	7	-11
"4609"	"dynamic"	"easy"	"bmg"	193	2	6	-3
"4633"	"dynamic"	"easy"	"bmg"	194	14	0	-10
"4657"	"dynamic"	"easy"	"bmg"	195	-4	-8	-6
"4681"	"dynamic"	"easy"	"bmg"	196	-9	0	-20
"4705"	"dynamic"	"easy"	"bmg"	197	8	3	-9
"4729"	"dynamic"	"easy"	"bmg"	198	4	4	8
"4753"	"dynamic"	"easy"	"bmg"	199	-9	-2	-3
"4777"	"dynamic"	"easy"	"bmg"	200	14	-4	7
"13"	"dynamic"	"easy"	"gbm"	1	8	-10	9
"37"	"dynamic"	"easy"	"gbm"	2	14	-37	1
"61"	"dynamic"	"easy"	"gbm"	3	5	9	9
"85"	"dynamic"	"easy"	"gbm"	4	9	9	7
"109"	"dynamic"	"easy"	"gbm"	5	15	-2	-2
"133"	"dynamic"	"easy"	"gbm"	6	1	-5	4
"157"	"dynamic"	"easy"	"gbm"	7	-33	-26	12
"181"	"dynamic"	"easy"	"gbm"	8	7	-6	1
"205"	"dynamic"	"easy"	"gbm"	9	-6	-6	-12
"229"	"dynamic"	"easy"	"gbm"	10	9	3	-4
"253"	"dynamic"	"easy"	"gbm"	11	14	15	-6
"277"	"dynamic"	"easy"	"gbm"	12	29	-18	-8
"301"	"dynamic"	"easy"	"gbm"	13	-4	-21	9
"325"	"dynamic"	"easy"	"gbm"	14	-13	-1	1
"349"	"dynamic"	"easy"	"gbm"	15	8	-13	-15
"373"	"dynamic"	"easy"	"gbm"	16	-13	12	5
"397"	"dynamic"	"easy"	"gbm"	17	-9	-4	-11
"421"	"dynamic"	"easy"	"gbm"	18	0	7	-6
"445"	"dynamic"	"easy"	"gbm"	19	5	5	-29
"469"	"dynamic"	"easy"	"gbm"	20	-2	-2	-16
"493"	"dynamic"	"easy"	"gbm"	21	-3	-13	-14
"517"	"dynamic"	"easy"	"gbm"	22	8	7	-13
"541"	"dynamic"	"easy"	"gbm"	23	13	-14	-11
"565"	"dynamic"	"easy"	"gbm"	24	3	2	11
"589"	"dynamic"	"easy"	"gbm"	25	7	10	-3
"613"	"dynamic"	"easy"	"gbm"	26	20	-11	-3
"637"	"dynamic"	"easy"	"gbm"	27	21	4	-8
"661"	"dynamic"	"easy"	"gbm"	28	4	-15	-2
"685"	"dynamic"	"easy"	"gbm"	29	16	-20	-1
"709"	"dynamic"	"easy"	"gbm"	30	3	2	-11
"733"	"dynamic"	"easy"	"gbm"	31	29	-8	-2
"757"	"dynamic"	"easy"	"gbm"	32	0	-2	18
