gameid	workerid	optionorder	playergamenum
636	A2QQY4S73JO639	1,2	2
636	A39QOA9M7GNF86	1,2	1
636	A39QOA9M7GNF86	1,2	2
636	AW5FP8MFB3F7X	1,2	1
636	AW5FP8MFB3F7X	1,2	2
636	A3JI3B5GTVA95F	2,1	1
636	A3JI3B5GTVA95F	2,1	2
636	yjkujsrzdgfhmgszt	1,2	1
636	dytjfutryazdgfhnc	1,2	1
636	A27GZN1JOOIAUW	2,1	1
636	A27GZN1JOOIAUW	1,2	2
636	AOO39X8E3OJYY	2,1	1
636	AOOUR2VW3Z628	1,2	1
636	AOO39X8E3OJYY	2,1	2
636	A2Y2RVQO2UVFV1	2,1	1
636	AOOUR2VW3Z628	2,1	2
636	A2Y2RVQO2UVFV1	2,1	2
636	A2UO3QJZNC2VOE	1,2	1
636	A1UCB0D27PY623	2,1	1
636	A1UCB0D27PY623	1,2	2
636	A36KLV5RY3BT3M	1,2	1
636	A36KLV5RY3BT3M	1,2	2
636	A3MTAJHYHCIJK4	2,1	1
636	A3MTAJHYHCIJK4	1,2	2
636	AMN2BRHBYE4G1	2,1	1
636	AMN2BRHBYE4G1	2,1	2
636	AZFJ4Y7VFQBDH	1,2	1
636	AYM0DVLY7RSXN	1,2	1
636	AZFJ4Y7VFQBDH	2,1	2
636	A2H89JLHUKPMIS	1,2	1
636	AYM0DVLY7RSXN	1,2	2
636	A2H89JLHUKPMIS	1,2	2
636	A1X6YB93WA5BO0	2,1	1
636	A2H89JLHUKPMIS	2,1	3
636	A2H89JLHUKPMIS	2,1	4
636	A2VGEE0ZIZ8CBQ	1,2	1
636	A1X6YB93WA5BO0	2,1	2
636	A2H89JLHUKPMIS	1,2	5
636	A2VGEE0ZIZ8CBQ	2,1	2
636	A10TPHPFQC4VE3	1,2	1
636	A183WYXN12P2TJ	1,2	1
636	A2U3TW5GB06QZE	2,1	1
636	A2U3TW5GB06QZE	2,1	2
636	A183WYXN12P2TJ	1,2	2
636	A2Y6XN815D6KMP	1,2	1
636	A10TPHPFQC4VE3	1,2	2
636	A2NH4I6BIN2XZ0	1,2	1
636	A2Y6XN815D6KMP	1,2	2
636	A3QK4WZ3FFSMF9	2,1	1
636	A2NH4I6BIN2XZ0	1,2	2
636	A3QK4WZ3FFSMF9	2,1	2
636	A38CW69MB24RRS	2,1	1
636	A38CW69MB24RRS	1,2	2
636	A2ZDK0Y5466BXN	1,2	1
636	A2ZDK0Y5466BXN	1,2	2
636	A2SIKW18T2DYYW	1,2	1
636	A2SIKW18T2DYYW	2,1	2
636	ACOKFBC75D5OR	2,1	1
636	ACOKFBC75D5OR	1,2	2
636	A1CKIYN01NV9GJ	1,2	1
636	A1CKIYN01NV9GJ	2,1	2
636	ALLCVXNHRB5EE	1,2	1
636	ALLCVXNHRB5EE	2,1	2
637	A2LS0IJ90DA0UY	4,2,3,1	0
637	fhmjaehw`hrstd,	1,2,4,3	1
637	"oapijwerbfo;pgamrw"	4,1,2,3	1
637	hsgfaetjstymryz	3,2,1,4	1
637	A3NKA0NIM0TX5C	1,3,4,2	1
637	A3NKA0NIM0TX5C	4,3,2,1	2
637	ngradwohl	1,2,3,4	1
637	ngradwohl	2,4,1,3	2
637	ngradwohl	4,2,1,3	3
637	doja	2,3,1,4	1
637	doja	4,2,1,3	2
637	A2T5GQ63RC7BLU	3,4,1,2	1
637	A1QIJ8PQO27CJC	4,1,3,2	1
637	A2T5GQ63RC7BLU	3,2,1,4	2
637	A221JJK7P6K22W	1,4,2,3	1
637	A1QIJ8PQO27CJC	2,1,4,3	2
637	A221JJK7P6K22W	2,3,4,1	2
637	A2BWTQWFM1J2IN	1,3,2,4	1
637	A2S4YDJ9UGAXFQ	4,2,3,1	1
637	A2BWTQWFM1J2IN	2,4,1,3	2
637	A2S4YDJ9UGAXFQ	4,3,1,2	2
637	AW34JRQ2PDQAV	1,2,3,4	1
637	AW34JRQ2PDQAV	4,2,1,3	2
637	A3IW9415ZOO0EX	1,4,3,2	1
637	A3IW9415ZOO0EX	4,2,1,3	2
637	A1O81SOPKHK5RZ	2,4,1,3	1
637	A1O81SOPKHK5RZ	1,3,4,2	2
637	A3DIRN48SZVNRE	1,2,4,3	1
637	A1Y9395AXC1FS0	2,1,4,3	1
637	ASFIW8VQXXU63	1,2,4,3	1
637	A3DIRN48SZVNRE	3,4,2,1	2
637	A2PWKE19HWQO63	3,2,1,4	1
637	ASFIW8VQXXU63	2,1,4,3	2
637	A1PVHNJPHO6YYK	4,2,3,1	1
637	A2PWKE19HWQO63	2,1,4,3	2
637	AL4WZDIXIVO2S	1,3,4,2	1
637	A354BLRIFGABPB	2,4,1,3	1
637	A1PVHNJPHO6YYK	2,3,4,1	2
637	A354BLRIFGABPB	1,4,3,2	2
637	AL4WZDIXIVO2S	4,1,3,2	2
637	ARL02LF79QANB	1,2,4,3	1
637	A2UNQAI5MDCKYG	3,2,1,4	1
637	ARL02LF79QANB	1,3,2,4	2
637	AIJEWX92UW722	2,1,3,4	1
637	A2UNQAI5MDCKYG	1,4,3,2	2
637	AIM6UIPPVF05M	1,3,4,2	1
637	AIM6UIPPVF05M	1,2,3,4	2
637	A1RSAU5I9NZTOP	2,1,4,3	1
637	A3AGQEMA4L5SQ	3,4,2,1	1
637	A1RSAU5I9NZTOP	1,4,2,3	2
637	A3AGQEMA4L5SQ	3,4,2,1	2
637	AIJEWX92UW722	1,3,2,4	2
637	A2VI55LKT5L4KB	4,3,2,1	1
637	A2VI55LKT5L4KB	2,3,4,1	2
637	A16PU53B41CJ22	2,4,3,1	1
637	A16PU53B41CJ22	3,4,1,2	2
637	A3HXCMU4MOPSQI	1,4,3,2	1
637	A3HXCMU4MOPSQI	4,2,1,3	2
638	A1TLNLB9D87H6	1,3,4,2	0
638	ARG47LD1T4XXY	3,1,4,2	0
638	dkt6ejw56eh4rwdtnfhmysjrteh	2,4,3,1	1
638	A90JBLDKW71DX	3,4,1,2	1
638	A90JBLDKW71DX	4,1,2,3	2
638	AH31QLJ57XC8W	4,3,2,1	1
638	AH31QLJ57XC8W	1,2,4,3	2
638	A1JUAIMXSCKG5U	2,1,4,3	1
638	A1JUAIMXSCKG5U	4,2,3,1	2
638	A1JUAIMXSCKG5U	2,4,1,3	3
638	A1JUAIMXSCKG5U	2,3,4,1	4
638	A1JUAIMXSCKG5U	3,1,4,2	5
638	A28F1ZWZ9H0RHA	1,3,4,2	1
638	AA4T7L2N9LNKI	3,4,2,1	1
638	A28F1ZWZ9H0RHA	2,1,4,3	2
638	A1Z9Q0X7194BRQ	2,4,1,3	1
638	AA4T7L2N9LNKI	2,4,3,1	2
638	A1Z9Q0X7194BRQ	3,2,1,4	2
638	A1DS5O8MSI3ZH0	4,3,2,1	1
638	A1DS5O8MSI3ZH0	1,2,4,3	2
638	AUG2CH9JZ2F8N	3,1,4,2	1
638	AUG2CH9JZ2F8N	2,1,4,3	2
638	A3CPZZNZDLFL6Z	4,3,2,1	1
638	A3CPZZNZDLFL6Z	4,1,3,2	2
638	A3S96RKRERLL93	2,1,4,3	1
638	A3S96RKRERLL93	3,4,2,1	2
638	A2RRC5B4M80XXO	4,1,2,3	1
638	AVI7K876BV3QL	1,4,2,3	1
638	A16LBGD84U0S4P	2,1,3,4	1
638	A2RRC5B4M80XXO	4,3,2,1	2
638	A3VERGBGOVGSI	1,4,3,2	1
638	AVI7K876BV3QL	4,3,2,1	2
638	A2BVUVKIS50IR8	2,3,1,4	1
638	A16LBGD84U0S4P	2,4,1,3	2
638	A2JG1NAFYN2PMJ	1,3,2,4	1
638	A2BVUVKIS50IR8	1,4,3,2	2
638	A3VERGBGOVGSI	2,3,1,4	2
638	A3VERGBGOVGSI	4,2,1,3	3
638	A2JG1NAFYN2PMJ	3,2,4,1	2
638	A10096013FIWZSW77Y0E0	3,2,1,4	1
638	A39KXU2B7L9MAC	1,3,4,2	1
638	AL36KBFL3ORCD	4,1,2,3	1
638	A10096013FIWZSW77Y0E0	1,3,2,4	2
638	A4806MFWRDL42	1,4,3,2	1
638	A28ZWKKX9NF1O9	4,2,3,1	1
638	A39KXU2B7L9MAC	3,1,4,2	2
638	A28ZWKKX9NF1O9	1,4,3,2	2
638	AL36KBFL3ORCD	4,1,3,2	2
638	A4806MFWRDL42	4,2,3,1	2
638	A2E2UARVOVDR9Y	3,1,4,2	1
638	A2E2UARVOVDR9Y	3,1,2,4	2
638	AYUA338WFJCYE	4,3,1,2	1
638	A1Y0ABOUJUMCWW	2,1,4,3	1
638	AYUA338WFJCYE	1,2,4,3	2
638	A1Y0ABOUJUMCWW	3,4,2,1	2
638	A9317WH3Y1SZ8	2,4,3,1	1
638	A9317WH3Y1SZ8	1,2,3,4	2
638	A3VO3NT62HDMQ9	1,2,4,3	1
638	A3VO3NT62HDMQ9	2,1,3,4	2
638	A1OS4YKRBTBPTG	1,3,2,4	1
638	A1OS4YKRBTBPTG	4,2,1,3	2
638	A14NP6X071S7GK	4,3,1,2	1
638	A14NP6X071S7GK	3,2,4,1	2
638	A4E1UYPDHE8D8	3,2,4,1	1
638	A4E1UYPDHE8D8	4,2,1,3	2
639	A3D3NEQ158WUB0	1,2	0
639	AO63KMU3PGNJA	2,1	0
639	dtyjsrztdgrys	2,1	1
639	ghaethw46	1,2	1
639	fhdjranezrhy5a	1,2	1
639	A2XJH3WC02RMXQ	1,2	1
639	A2XJH3WC02RMXQ	1,2	2
639	A11SMS4CF6W26Y	1,2	1
639	A11SMS4CF6W26Y	1,2	2
639	A3H6C8N09ZMJEO	2,1	1
639	A2C6DY9MK7V6Z4	2,1	1
639	A3GDTSFHVBUJHD	2,1	1
639	A3H6C8N09ZMJEO	1,2	2
639	A3GDTSFHVBUJHD	1,2	2
639	A2C6DY9MK7V6Z4	2,1	2
639	A2ULFQIDMMWNC6	1,2	1
639	A3G5IPGLH1IIZN	1,2	1
639	A2ULFQIDMMWNC6	2,1	2
639	A3G5IPGLH1IIZN	1,2	2
639	A36662QQDZ9J3R	1,2	1
639	A36662QQDZ9J3R	1,2	2
639	A2AO7QP5THYKQF	1,2	1
639	A2AO7QP5THYKQF	1,2	2
639	A6HR4PTSCMZ4L	2,1	1
639	A6HR4PTSCMZ4L	1,2	2
639	A37RHQPON2RJYL	1,2	1
639	A37RHQPON2RJYL	2,1	2
639	A1SIUJEL2LS8UO	2,1	1
639	A1L2N1X8U8Z3W7	2,1	1
639	A2HYPKCDQH8Y83	2,1	1
639	A1SIUJEL2LS8UO	1,2	2
639	A1L2N1X8U8Z3W7	2,1	2
639	A1JO9FMFHRM7MG	2,1	1
639	A2HYPKCDQH8Y83	1,2	2
639	A1JO9FMFHRM7MG	1,2	2
639	A10PNVAP5YPG7V	2,1	1
639	A2COSIJ0PXHLP0	2,1	1
639	A10PNVAP5YPG7V	2,1	2
639	A3RVTUCJP2KBJ7	1,2	1
639	A2EAIMII6MSIO5	1,2	1
639	A33PDF03E6TRU0	2,1	1
639	A2COSIJ0PXHLP0	2,1	2
639	A3RVTUCJP2KBJ7	2,1	2
639	A3RVTUCJP2KBJ7	1,2	3
639	A2EAIMII6MSIO5	2,1	2
639	A33PDF03E6TRU0	1,2	2
639	A8IGMJQWT1A47	2,1	1
639	A8IGMJQWT1A47	2,1	2
639	A383I2LLYX9LJM	1,2	1
639	A1GGZXWDUJB0F9	2,1	1
639	A383I2LLYX9LJM	2,1	2
639	A1GGZXWDUJB0F9	1,2	2
639	A1NCWY01WAAP2K	2,1	1
639	A1NCWY01WAAP2K	1,2	2
639	a1jrdviwshblso	1,2	1
639	a1jrdviwshblso	1,2	2
639	A2CIK5GSWGNJZF	2,1	1
639	A2CIK5GSWGNJZF	2,1	2
639	AIT2938FA7SOH	2,1	1
639	AIT2938FA7SOH	2,1	2
639	A1RRL7OHJ5W1MR	1,2	1
639	A1RRL7OHJ5W1MR	2,1	2
639	A3862RIFFUV141	2,1	1
639	A3862RIFFUV141	1,2	2
639	A1FG4M4370KNFI	1,2	1
639	A1FG4M4370KNFI	2,1	2
640	A2T22FJ28MIGI	2,1	0
640	AE39BR846NHHW	1,2	0
640	A3B7TNVOISSZ2O	1,2	0
640	A19TL7AJ0FB1JG	2,1	1
640	A19TL7AJ0FB1JG	2,1	2
640	xftjykdsrtzdgmhgcxfzdhxj	2,1	1
640	dhtyjrateHRSDgnzfhmxg	1,2	1
640	A2LXPQS44US390	2,1	1
640	A2LXPQS44US390	2,1	2
640	A2R40R4O6G0YBY	2,1	1
640	AKTKV3TBIOHVX	1,2	1
640	A2R40R4O6G0YBY	1,2	2
640	AKTKV3TBIOHVX	2,1	2
640	A2Y2RVQO2UVFV1	1,2	1
640	A2Y2RVQO2UVFV1	1,2	2
640	A2U77P7ML4ZXDB	1,2	1
640	A2U77P7ML4ZXDB	1,2	2
640	A24N00FSJO3DZP	1,2	1
640	A24N00FSJO3DZP	2,1	2
640	A1GV3SF9AKA8BU	1,2	1
640	A7DN8E3C7IWLI	2,1	1
640	A1RJKLETKSD2AP	1,2	1
640	A7DN8E3C7IWLI	1,2	2
640	A1QLJW2XZMA4G4	2,1	1
640	A1RJKLETKSD2AP	1,2	2
640	A1GV3SF9AKA8BU	1,2	2
640	A364RJUWQ77TDQ	1,2	1
640	A1QLJW2XZMA4G4	2,1	2
640	A3SBHD15KU9HFA	2,1	1
640	A199QE5OP988XH	1,2	1
640	A3SBHD15KU9HFA	2,1	2
640	A199QE5OP988XH	1,2	2
640	A299CU7U9QX3E7	2,1	1
640	ATATCYCP7QBQ9	2,1	1
640	A35RZ2HKE9VWJ5	1,2	1
640	A35BY30TC8WCL4	2,1	1
640	A35RZ2HKE9VWJ5	2,1	2
640	A3P2LT53J1GUBG	1,2	1
640	A299CU7U9QX3E7	2,1	2
640	ATATCYCP7QBQ9	1,2	2
640	A35BY30TC8WCL4	1,2	2
640	A3P2LT53J1GUBG	1,2	2
640	A1OGHCUM6PPN33	2,1	1
640	A364RJUWQ77TDQ	2,1	2
640	A1OGHCUM6PPN33	2,1	2
640	AZP301TUFBRUG	2,1	1
640	AZP301TUFBRUG	1,2	2
640	A1B4227M08K866	2,1	1
640	A1B4227M08K866	1,2	2
640	A28WKEUHQLFVS3	1,2	1
640	A28WKEUHQLFVS3	2,1	2
640	A1BQCRF5Q76YFY	2,1	1
640	A1BQCRF5Q76YFY	1,2	2
640	A1BQCRF5Q76YFY	1,2	3
640	A1C1V5NOGHGR1O	2,1	1
640	A74IW1OD4R9QS	1,2	1
640	A74IW1OD4R9QS	1,2	2
641	A1WDUICI1FG9F	3,4,2,1	0
641	AHEVIE2NY1W1Z	2,1,3,4	0
641	A2SJC9VRBGNC58	1,2,4,3	0
641	srtjhaeh64wsjymd	3,4,2,1	1
641	A3J6DBTEFYQCCQ	3,2,4,1	1
641	A3J6DBTEFYQCCQ	3,2,1,4	2
641	A232UCDEI33H4H	4,2,1,3	1
641	A232UCDEI33H4H	3,4,1,2	2
641	ABNNX9AKIRYJ7	4,2,1,3	1
641	A3KW13NHPR32JW	1,3,2,4	1
641	A9IWWWKFNAGOE	4,3,1,2	1
641	ABNNX9AKIRYJ7	1,2,4,3	2
641	A3KW13NHPR32JW	4,3,1,2	2
641	AUAQNF31UH6H4	4,2,3,1	1
641	A2J1VDVDYZRK29	4,2,3,1	1
641	AUAQNF31UH6H4	1,2,3,4	2
641	A2J1VDVDYZRK29	1,4,2,3	2
641	A37IDH6SRRZ247	2,3,1,4	1
641	A9IWWWKFNAGOE	3,1,4,2	2
641	A37IDH6SRRZ247	3,1,4,2	2
641	A1O901WTP8TNIE	2,4,1,3	1
641	A1O901WTP8TNIE	1,3,4,2	2
641	A1BEBN58T1E0TH	3,4,1,2	1
641	A1BEBN58T1E0TH	4,3,1,2	2
641	A2ATNPZC1YEZ3	1,4,2,3	1
641	A2ATNPZC1YEZ3	4,1,2,3	2
641	A0458416JKGTCUH0UI04	1,2,3,4	1
641	A27UCYAWBSVLZK	3,1,4,2	1
641	A27UCYAWBSVLZK	4,1,3,2	2
641	A0458416JKGTCUH0UI04	3,1,4,2	2
641	A1H0GRRT8J059	3,2,1,4	1
641	A2EAJ7834XI2IT	2,3,1,4	1
641	AHLEIW6IVQ98T	1,2,3,4	1
641	A1H0GRRT8J059	1,4,2,3	2
641	A2EAJ7834XI2IT	1,2,4,3	2
641	AHLEIW6IVQ98T	2,3,4,1	2
641	AAGH904RDL2P1	3,1,4,2	1
641	ADP7UNGJZKRSK	3,4,2,1	1
641	A2EICU0QSQ74OX	2,4,3,1	1
641	AAGH904RDL2P1	2,1,3,4	2
641	A1XXBBKJ0B5TA7	3,4,2,1	1
641	A2EICU0QSQ74OX	3,1,2,4	2
641	ADP7UNGJZKRSK	3,4,1,2	2
641	A1XXBBKJ0B5TA7	1,3,2,4	2
641	A2Q98TY41UE516	2,3,4,1	1
641	A1ZPYSX30BDIVW	3,4,1,2	1
641	A1U3KTAUMV7QKT	3,4,1,2	1
641	A2Q98TY41UE516	1,2,3,4	2
641	A1ZPYSX30BDIVW	2,4,1,3	2
641	A1U3KTAUMV7QKT	3,2,4,1	2
641	A2VI55LKT5L4KB	4,1,2,3	1
641	A2VI55LKT5L4KB	1,3,4,2	2
641	A2PYGLCXIXOHBQ	1,2,4,3	1
641	A2PYGLCXIXOHBQ	1,4,2,3	2
641	ANZN7CH92GM4X	2,4,1,3	1
641	ANZN7CH92GM4X	2,3,4,1	2
641	A1CXMDUNE9A6VO	4,3,1,2	1
641	A1CXMDUNE9A6VO	3,4,2,1	2
642	A302M81U0HM7RJ	1,2,3,4	0
642	A2WX9BYW5TI8OA	3,4,1,2	0
642	gaserhsjrtjyhdxgc	4,3,2,1	1
642	A2Q1YS118AO2BP	3,1,2,4	1
642	A2Q1YS118AO2BP	1,2,3,4	2
642	A1VVC7UDUKAM4P	4,1,3,2	1
642	A173LV77LF3SHB	3,1,2,4	1
642	AFDOCG0RZGSXU	4,3,1,2	1
642	A79MOUAP34RVB	4,2,1,3	1
642	A173LV77LF3SHB	4,1,2,3	2
642	AFDOCG0RZGSXU	2,3,1,4	2
642	A1VVC7UDUKAM4P	1,4,2,3	2
642	A79MOUAP34RVB	4,1,2,3	2
642	A2JQR5BQRLVT1U	4,3,2,1	1
642	A2JQR5BQRLVT1U	4,3,1,2	2
642	A27LGC4MU1R7PQ	2,4,3,1	1
642	AO7FM98CP90CL	3,1,2,4	1
642	AO7FM98CP90CL	2,4,3,1	2
642	ACLCFPUQWV591	3,4,2,1	1
642	A27LGC4MU1R7PQ	2,4,3,1	2
642	ACLCFPUQWV591	1,3,2,4	2
642	A3AZJGI9D7C0PD	1,4,3,2	1
642	A3AZJGI9D7C0PD	2,3,1,4	2
642	A2F79GFUWU5O96	3,2,1,4	1
642	A2F79GFUWU5O96	1,4,3,2	2
642	A2O200JODCD036	2,4,1,3	1
642	A1TTA3N401CZTS	3,1,4,2	1
642	A2O200JODCD036	2,1,3,4	2
642	A2VOADROWMC2ZM	1,3,4,2	1
642	A1TTA3N401CZTS	3,1,4,2	2
642	A2VOADROWMC2ZM	2,4,1,3	2
642	A33O23NO99ZA1D	3,1,2,4	1
642	A2E66DBAWSXKWP	3,2,4,1	1
642	A33O23NO99ZA1D	1,2,4,3	2
642	A1I7ACFIU8U11J	1,3,4,2	1
642	A8KDSIY4KBYR4	3,2,4,1	1
642	A2E66DBAWSXKWP	1,3,2,4	2
642	A1I7ACFIU8U11J	3,1,2,4	2
642	A216MK0DNQUN4G	1,3,4,2	1
642	A8KDSIY4KBYR4	2,3,1,4	2
642	A3MUWBUFV8TC9K	1,2,4,3	1
642	A2Q1JUSJ9THUDZ	2,4,1,3	1
642	A216MK0DNQUN4G	3,4,2,1	2
642	A3MUWBUFV8TC9K	1,2,4,3	2
642	A2Q1JUSJ9THUDZ	1,2,4,3	2
642	A3LBO70KL0B8MO	4,2,1,3	1
642	AOPOLVUSCIRDN	1,4,2,3	1
642	A2FB7PA68MG38J	1,2,3,4	1
642	A3LBO70KL0B8MO	4,2,3,1	2
642	A2FB7PA68MG38J	3,4,1,2	2
642	A2UF2FRGVW4T89	2,3,4,1	1
642	A2UF2FRGVW4T89	4,1,3,2	2
642	A2UF2FRGVW4T89	1,4,3,2	3
642	A1JNC3HWWHJD2J	1,4,3,2	1
642	A1JNC3HWWHJD2J	4,2,3,1	2
642	AJ34WB9Z37ILU	2,3,1,4	1
642	AJ34WB9Z37ILU	3,2,1,4	2
642	A2AWQIK6VWMKUT	4,2,3,1	1
642	A2AWQIK6VWMKUT	2,3,4,1	2
642	A2AWQIK6VWMKUT	3,1,4,2	3
642	A1UNMD94HOLOFC	2,4,3,1	1
642	A1UNMD94HOLOFC	3,1,4,2	2
651	d5t7ijarztykutsrzys	1,2	1
651	fujtyhreagtjfdmtdj6w	2,1	1
651	uyfkjhrahtj357jdxe	1,2	1
651	hsrthjaeztjyst65w	2,1	1
651	A1HK4I1TCQJR6P	2,1	1
651	A1HK4I1TCQJR6P	1,2	2
651	A3L1VB6K50WQ44	1,2	1
651	A3L1VB6K50WQ44	2,1	2
651	AW5FP8MFB3F7X	1,2	1
651	AW5FP8MFB3F7X	1,2	2
651	A3SKQPPOKCZU88	2,1	1
651	AFXEBGX1I0ZR3	2,1	1
651	A5LLCNRZ7U2UK	1,2	1
651	A1FBBY2JJYRMRI	1,2	1
651	A3SKQPPOKCZU88	1,2	2
651	A5LLCNRZ7U2UK	2,1	2
651	A3C7KGF8I37220	2,1	1
651	A1FBBY2JJYRMRI	2,1	2
651	A3C7KGF8I37220	1,2	2
651	AFXEBGX1I0ZR3	1,2	2
651	A2MSVKXC1F3WIU	1,2	1
651	A2MSVKXC1F3WIU	1,2	2
651	A3CZFTXS9EQSY3	1,2	1
651	A3CZFTXS9EQSY3	2,1	2
651	A2WGW5Y3ZFBDEC	2,1	1
651	A2WGW5Y3ZFBDEC	2,1	2
651	A1TSVP4XC9NTR4	1,2	1
651	A1TSVP4XC9NTR4	1,2	2
651	A29PB2C8XD8TVG	1,2	1
651	A1V6BJT8KGVC1K	1,2	1
651	A29PB2C8XD8TVG	1,2	2
651	A1V6BJT8KGVC1K	1,2	2
651	A1KH62H92N4L13	1,2	1
651	A3QQRMRZHPXRAH	2,1	1
651	A2KHV2D09JAWPC	1,2	1
651	A2KHV2D09JAWPC	1,2	2
651	A1QYORNO0GY308	1,2	1
651	A1KH62H92N4L13	2,1	2
651	A1KH62H92N4L13	1,2	3
651	A3QQRMRZHPXRAH	2,1	2
651	A1QYORNO0GY308	2,1	2
651	A1R7TL9LKSM72O	1,2	1
651	A3BWFQ181VOGIK	1,2	1
651	A3GFDGDJ3UNL18	1,2	1
651	A1R7TK9LKSM72O	2,1	1
651	AI31HI6NS7U3E	1,2	1
651	A3BWFQ181VOGIK	1,2	2
651	A3GFDGDJ3UNL18	1,2	2
651	AI31HI6NS7U3E	2,1	2
651	A1COXU1CVVW4RR	1,2	1
651	A1COXU1CVVW4RR	1,2	2
651	A25AEO5F6K3XZ5	1,2	1
651	A25AEO5F6K3XZ5	1,2	2
651	A1BI3WXOR5CTHQ	2,1	1
651	A1BI3WXOR5CTHQ	2,1	2
651	AY25KKNLTK9D3	1,2	1
651	AY25KKNLTK9D3	2,1	2
651	A363K42LE9BAT5	1,2	1
651	A363K42LE9BAT5	1,2	2
651	A1U4BGCXUPH8Z2	1,2	1
651	A1U4BGCXUPH8Z2	2,1	2
651	AFN5VMMGYPF1I	1,2	1
651	AFN5VMMGYPF1I	1,2	2
652	A2XJH3WC02RMXQ	1,2	1
652	A2XJH3WC02RMXQ	2,1	2
652	A1N1T17XTPEEK5	2,1	1
652	A1N1T17XTPEEK5	1,2	2
652	xfyjnaeztrjyuts7	2,1	1
652	xfjrtytcdukyfldtxgj	2,1	1
652	A2CEUCPDECS6U3	2,1	1
652	A2CEUCPDECS6U3	2,1	2
652	A160HFSRDNT91E	1,2	1
652	A1POZ8CU7KPXN1	1,2	1
652	A160HFSRDNT91E	2,1	2
652	A21SF3IKIZB0VN	1,2	1
652	A1POZ8CU7KPXN1	2,1	2
652	A1W36Q5THCHYUZ	1,2	1
652	A1T56P6L5730HG	1,2	1
652	A1T56P6L5730HG	1,2	2
652	A21SF3IKIZB0VN	2,1	2
652	A1W36Q5THCHYUZ	1,2	2
652	A3VDFWL4MI3KPA	2,1	1
652	A3VDFWL4MI3KPA	2,1	2
652	A2250L5WNYCTE1	2,1	1
652	A2250L5WNYCTE1	2,1	2
652	A1F0VPCA2QEVKZ	2,1	1
652	A1F0VPCA2QEVKZ	2,1	2
652	AEQ95NMC3VXQ5	2,1	1
652	AEQ95NMC3VXQ5	1,2	2
652	AFZ1ZGPJ5SR3L	1,2	1
652	ATADQXPHL10Y8	2,1	1
652	A77K8W55MJEKX	1,2	1
