gameid	outcome	a	b	c	d
636	47	19	10	0	0
636	48	-8	6	0	0
636	49	10	-3	0	0
636	50	-17	13	0	0
636	51	-17	33	0	0
636	52	2	-5	0	0
636	53	-6	-27	0	0
636	54	7	-1	0	0
636	55	14	28	0	0
636	56	15	29	0	0
636	57	11	25	0	0
636	58	11	-19	0	0
636	59	2	-10	0	0
636	60	36	-9	0	0
636	61	71	12	0	0
636	62	23	33	0	0
636	63	-6	-12	0	0
636	64	35	-30	0	0
636	65	-6	-21	0	0
636	66	-3	-17	0	0
636	67	36	24	0	0
636	68	5	-26	0	0
636	69	2	-30	0	0
636	70	-21	8	0	0
636	71	23	31	0	0
636	72	0	15	0	0
636	73	0	-19	0	0
636	74	42	-7	0	0
636	75	-10	6	0	0
636	76	5	15	0	0
636	77	15	-23	0	0
636	78	2	-15	0	0
636	79	-2	-34	0	0
636	80	-9	-1	0	0
636	81	5	-39	0	0
636	82	11	2	0	0
636	83	-1	-31	0	0
636	84	-27	-26	0	0
636	85	-10	7	0	0
636	86	-18	19	0	0
636	87	-5	7	0	0
636	88	-13	12	0	0
636	89	2	-10	0	0
636	90	-4	-12	0	0
636	91	6	-20	0	0
636	92	-12	1	0	0
636	93	6	-19	0	0
636	94	13	-24	0	0
636	95	7	-6	0	0
636	96	4	-24	0	0
636	97	12	12	0	0
636	98	10	-15	0	0
636	99	16	-15	0	0
636	100	4	-58	0	0
637	1	-10	-5	-9	-4
637	2	5	-6	-4	0
637	3	2	-4	0	-4
637	4	2	-2	1	1
637	5	13	-5	-7	4
637	6	7	-7	-7	-5
637	7	-2	-13	-5	-2
637	8	8	-3	-18	0
637	9	4	-6	-4	-2
637	10	7	-3	-1	-4
637	11	4	-5	-7	-17
637	12	-4	-6	-1	-11
637	13	9	-14	-3	-6
637	14	4	-2	-5	-1
637	15	10	-5	-11	-8
637	16	13	-6	-5	-6
637	17	0	1	-2	-10
637	18	5	-7	-7	7
637	19	13	-11	-3	-10
637	20	12	-8	-7	1
637	21	6	3	-4	3
637	22	4	-5	-7	-7
637	23	0	-5	-8	-8
637	24	9	-7	-7	-4
637	25	7	2	1	-2
637	26	3	-12	-3	-8
637	27	8	-8	-9	-5
637	28	-4	-4	-6	-16
637	29	13	-9	-10	-6
637	30	4	6	-8	-6
637	31	6	-17	-4	-11
637	32	4	2	-6	1
637	33	3	-3	3	2
637	34	12	3	-5	-5
637	35	3	-1	-9	-7
637	36	8	-11	0	-11
637	37	0	4	1	-9
637	38	3	-11	-6	6
637	39	-2	0	-4	-3
637	40	6	-3	-2	-8
637	41	10	2	3	-3
637	42	10	-6	-1	-7
637	43	2	-5	-3	-11
637	44	10	-4	-5	-9
637	45	0	-5	2	-5
637	46	7	-5	-9	-3
637	47	6	-5	-10	-2
637	48	8	-7	-2	-9
637	49	-1	-4	-12	0
637	50	4	-13	-14	-6
637	51	6	-2	-6	-4
637	52	4	-2	-3	-3
637	53	2	-9	-2	-13
637	54	-1	0	-7	-16
637	55	12	-4	-10	-4
637	56	0	-6	5	-2
637	57	6	-2	-2	-9
637	58	15	4	-1	-3
637	59	5	-2	-9	-10
637	60	9	-8	-7	-2
637	61	3	-1	-10	1
637	62	13	-4	2	-5
637	63	1	-14	-11	4
637	64	2	-3	-11	-8
637	65	6	-17	2	4
637	66	-2	-5	-15	-12
637	67	10	-3	-7	-6
637	68	6	-10	-9	-7
637	69	4	-5	-10	2
637	70	2	2	-13	2
637	71	4	1	-8	-11
637	72	-2	-4	-7	-5
637	73	9	-3	-4	-9
637	74	0	-8	-1	0
637	75	1	-8	-10	1
637	76	9	-8	-7	-7
637	77	-3	-5	3	-2
637	78	5	-7	-7	-11
637	79	-2	-13	-11	-4
637	80	4	-4	-6	-5
637	81	-5	-8	1	-5
637	82	9	-5	1	-7
637	83	0	-9	-8	-6
637	84	4	-4	-2	-6
637	85	7	7	0	-3
637	86	13	1	4	-8
637	87	7	-4	0	-7
637	88	4	-2	-8	-3
637	89	2	-12	-11	-15
637	90	11	-21	-3	-4
637	91	3	-3	-3	-10
637	92	7	-3	-1	5
637	93	4	10	-1	-6
637	94	4	-5	-5	-10
637	95	5	-4	-9	-7
637	96	12	-7	-4	-10
637	97	5	-9	-6	2
637	98	7	-4	-8	-7
637	99	11	-12	-11	-4
637	100	9	-7	8	-5
638	1	-10	-5	-9	-4
638	2	5	-6	-4	0
638	3	2	-4	0	-4
638	4	2	-2	1	1
638	5	13	-5	-7	4
638	6	7	-7	-7	-5
638	7	-2	-13	-5	-2
638	8	8	-3	-18	0
638	9	4	-6	-4	-2
638	10	7	-3	-1	-4
638	11	4	-5	-7	-17
638	12	-4	-6	-1	-11
638	13	9	-14	-3	-6
638	14	4	-2	-5	-1
638	15	10	-5	-11	-8
638	16	13	-6	-5	-6
638	17	0	1	-2	-10
638	18	5	-7	-7	7
638	19	13	-11	-3	-10
638	20	12	-8	-7	1
638	21	6	3	-4	3
638	22	4	-5	-7	-7
638	23	0	-5	-8	-8
638	24	9	-7	-7	-4
638	25	7	2	1	-2
638	26	3	-12	-3	-8
638	27	8	-8	-9	-5
638	28	-4	-4	-6	-16
638	29	13	-9	-10	-6
638	30	4	6	-8	-6
638	31	6	-17	-4	-11
638	32	4	2	-6	1
638	33	3	-3	3	2
638	34	12	3	-5	-5
638	35	3	-1	-9	-7
638	36	8	-11	0	-11
638	37	0	4	1	-9
638	38	3	-11	-6	6
638	39	-2	0	-4	-3
638	40	6	-3	-2	-8
638	41	10	2	3	-3
638	42	10	-6	-1	-7
638	43	2	-5	-3	-11
638	44	10	-4	-5	-9
638	45	0	-5	2	-5
638	46	7	-5	-9	-3
638	47	6	-5	-10	-2
638	48	8	-7	-2	-9
638	49	-1	-4	-12	0
638	50	4	-13	-14	-6
638	51	6	-2	-6	-4
638	52	4	-2	-3	-3
638	53	2	-9	-2	-13
638	54	-1	0	-7	-16
638	55	12	-4	-10	-4
638	56	0	-6	5	-2
638	57	6	-2	-2	-9
638	58	15	4	-1	-3
638	59	5	-2	-9	-10
638	60	9	-8	-7	-2
638	61	3	-1	-10	1
638	62	13	-4	2	-5
638	63	1	-14	-11	4
638	64	2	-3	-11	-8
638	65	6	-17	2	4
638	66	-2	-5	-15	-12
638	67	10	-3	-7	-6
638	68	6	-10	-9	-7
638	69	4	-5	-10	2
638	70	2	2	-13	2
638	71	4	1	-8	-11
638	72	-2	-4	-7	-5
638	73	9	-3	-4	-9
638	74	0	-8	-1	0
638	75	1	-8	-10	1
638	76	9	-8	-7	-7
638	77	-3	-5	3	-2
638	78	5	-7	-7	-11
638	79	-2	-13	-11	-4
638	80	4	-4	-6	-5
638	81	-5	-8	1	-5
638	82	9	-5	1	-7
638	83	0	-9	-8	-6
638	84	4	-4	-2	-6
638	85	7	7	0	-3
638	86	13	1	4	-8
638	87	7	-4	0	-7
638	88	4	-2	-8	-3
638	89	2	-12	-11	-15
638	90	11	-21	-3	-4
638	91	3	-3	-3	-10
638	92	7	-3	-1	5
638	93	4	10	-1	-6
638	94	4	-5	-5	-10
638	95	5	-4	-9	-7
638	96	12	-7	-4	-10
638	97	5	-9	-6	2
638	98	7	-4	-8	-7
638	99	11	-12	-11	-4
638	100	9	-7	8	-5
639	1	-4	-7	0	0
639	2	-2	-8	0	0
639	3	2	0	0	0
639	4	0	-4	0	0
639	5	2	-12	0	0
639	6	7	-4	0	0
639	7	-2	-4	0	0
639	8	4	-2	0	0
639	9	8	-4	0	0
639	10	6	-6	0	0
639	11	-4	-12	0	0
639	12	4	-2	0	0
639	13	14	-6	0	0
639	14	0	-5	0	0
639	15	8	-4	0	0
639	16	7	0	0	0
639	17	1	-8	0	0
639	18	15	-1	0	0
639	19	3	-5	0	0
639	20	6	0	0	0
639	21	7	-5	0	0
639	22	8	-1	0	0
639	23	10	-10	0	0
639	24	2	-8	0	0
639	25	9	-6	0	0
639	26	3	-6	0	0
639	27	4	0	0	0
639	28	11	-9	0	0
639	29	4	-8	0	0
639	30	10	-11	0	0
639	31	-4	-3	0	0
639	32	6	-2	0	0
639	33	6	-7	0	0
639	34	16	-8	0	0
639	35	6	-2	0	0
639	36	13	-5	0	0
639	37	4	-7	0	0
639	38	12	-5	0	0
639	39	5	-7	0	0
639	40	10	-13	0	0
639	41	5	-8	0	0
639	42	5	-9	0	0
639	43	-1	-12	0	0
639	44	6	-10	0	0
639	45	4	-10	0	0
639	46	2	-9	0	0
639	47	11	-6	0	0
639	48	0	-3	0	0
639	49	8	-3	0	0
639	50	-3	-7	0	0
639	51	-1	-9	0	0
639	52	6	-3	0	0
639	53	6	-11	0	0
639	54	-6	0	0	0
639	55	8	-7	0	0
639	56	5	-11	0	0
639	57	2	1	0	0
639	58	3	-9	0	0
639	59	8	-3	0	0
639	60	6	-5	0	0
639	61	13	-7	0	0
639	62	1	6	0	0
639	63	1	-8	0	0
639	64	6	-9	0	0
639	65	4	-10	0	0
639	66	7	-4	0	0
639	67	9	3	0	0
639	68	3	-9	0	0
639	69	3	0	0	0
639	70	7	-3	0	0
639	71	5	-1	0	0
639	72	9	3	0	0
639	73	2	-6	0	0
639	74	6	-2	0	0
639	75	5	-4	0	0
639	76	4	-8	0	0
639	77	-2	-4	0	0
639	78	3	2	0	0
639	79	1	0	0	0
639	80	5	-5	0	0
639	81	-6	0	0	0
639	82	10	-7	0	0
639	83	4	-10	0	0
639	84	7	-3	0	0
639	85	-4	-12	0	0
639	86	13	-7	0	0
639	87	3	-1	0	0
639	88	12	3	0	0
639	89	13	6	0	0
639	90	7	-1	0	0
639	91	6	-2	0	0
639	92	9	4	0	0
639	93	-2	2	0	0
639	94	8	-8	0	0
639	95	0	3	0	0
639	96	1	-10	0	0
639	97	6	-12	0	0
639	98	12	-6	0	0
639	99	7	-2	0	0
639	100	11	-15	0	0
640	1	-2	26	0	0
640	2	0	14	0	0
640	3	5	-6	0	0
640	4	-11	-30	0	0
640	5	19	-45	0	0
640	6	1	-20	0	0
640	7	33	-22	0	0
640	8	6	23	0	0
640	9	15	10	0	0
640	10	17	-25	0	0
640	11	-1	-5	0	0
640	12	9	-16	0	0
640	13	15	-26	0	0
640	14	-11	13	0	0
640	15	-21	-33	0	0
640	16	16	-23	0	0
640	17	4	-10	0	0
640	18	7	8	0	0
640	19	4	-17	0	0
640	20	-5	-42	0	0
640	21	-21	37	0	0
640	22	35	-1	0	0
640	23	17	3	0	0
640	24	47	33	0	0
640	25	6	-28	0	0
640	26	-19	6	0	0
640	27	29	-1	0	0
640	28	-12	3	0	0
640	29	-37	12	0	0
640	30	17	11	0	0
640	31	10	-15	0	0
640	32	-5	-24	0	0
640	33	28	-21	0	0
640	34	-25	-43	0	0
640	35	-17	-19	0	0
640	36	-28	1	0	0
640	37	-8	4	0	0
640	38	5	-9	0	0
640	39	23	3	0	0
640	40	-7	-27	0	0
640	41	13	3	0	0
640	42	17	8	0	0
640	43	11	2	0	0
640	44	25	32	0	0
640	45	29	11	0	0
640	46	-22	3	0	0
640	47	19	10	0	0
640	48	-8	6	0	0
640	49	10	-3	0	0
640	50	-17	13	0	0
640	51	-17	33	0	0
640	52	2	-5	0	0
640	53	-6	-27	0	0
640	54	7	-1	0	0
640	55	14	28	0	0
640	56	15	29	0	0
640	57	11	25	0	0
640	58	11	-19	0	0
640	59	2	-10	0	0
640	60	36	-9	0	0
640	61	71	12	0	0
640	62	23	33	0	0
640	63	-6	-12	0	0
640	64	35	-30	0	0
640	65	-6	-21	0	0
640	66	-3	-17	0	0
640	67	36	24	0	0
640	68	5	-26	0	0
640	69	2	-30	0	0
640	70	-21	8	0	0
640	71	23	31	0	0
640	72	0	15	0	0
640	73	0	-19	0	0
640	74	42	-7	0	0
640	75	-10	6	0	0
640	76	5	15	0	0
640	77	15	-23	0	0
640	78	2	-15	0	0
640	79	-2	-34	0	0
640	80	-9	-1	0	0
640	81	5	-39	0	0
640	82	11	2	0	0
640	83	-1	-31	0	0
640	84	-27	-26	0	0
640	85	-10	7	0	0
640	86	-18	19	0	0
640	87	-5	7	0	0
640	88	-13	12	0	0
640	89	2	-10	0	0
640	90	-4	-12	0	0
640	91	6	-20	0	0
640	92	-12	1	0	0
640	93	6	-19	0	0
640	94	13	-24	0	0
640	95	7	-6	0	0
640	96	4	-24	0	0
640	97	12	12	0	0
640	98	10	-15	0	0
640	99	16	-15	0	0
640	100	4	-58	0	0
641	1	-10	-5	-9	-4
641	2	5	-6	-4	0
641	3	2	-4	0	-4
641	4	2	-2	1	1
641	5	13	-5	-7	4
641	6	7	-7	-7	-5
641	7	-2	-13	-5	-2
641	8	8	-3	-18	0
641	9	4	-6	-4	-2
641	10	7	-3	-1	-4
641	11	4	-5	-7	-17
641	12	-4	-6	-1	-11
641	13	9	-14	-3	-6
641	14	4	-2	-5	-1
641	15	10	-5	-11	-8
641	16	13	-6	-5	-6
641	17	0	1	-2	-10
641	18	5	-7	-7	7
641	19	13	-11	-3	-10
641	20	12	-8	-7	1
641	21	6	3	-4	3
641	22	4	-5	-7	-7
641	23	0	-5	-8	-8
641	24	9	-7	-7	-4
641	25	7	2	1	-2
641	26	3	-12	-3	-8
641	27	8	-8	-9	-5
641	28	-4	-4	-6	-16
641	29	13	-9	-10	-6
641	30	4	6	-8	-6
641	31	6	-17	-4	-11
641	32	4	2	-6	1
641	33	3	-3	3	2
641	34	12	3	-5	-5
641	35	3	-1	-9	-7
641	36	8	-11	0	-11
641	37	0	4	1	-9
641	38	3	-11	-6	6
641	39	-2	0	-4	-3
641	40	6	-3	-2	-8
641	41	10	2	3	-3
641	42	10	-6	-1	-7
641	43	2	-5	-3	-11
641	44	10	-4	-5	-9
641	45	0	-5	2	-5
641	46	7	-5	-9	-3
641	47	6	-5	-10	-2
641	48	8	-7	-2	-9
641	49	-1	-4	-12	0
641	50	4	-13	-14	-6
641	51	6	-2	-6	-4
641	52	4	-2	-3	-3
641	53	2	-9	-2	-13
641	54	-1	0	-7	-16
641	55	12	-4	-10	-4
641	56	0	-6	5	-2
641	57	6	-2	-2	-9
641	58	15	4	-1	-3
641	59	5	-2	-9	-10
641	60	9	-8	-7	-2
641	61	3	-1	-10	1
641	62	13	-4	2	-5
641	63	1	-14	-11	4
641	64	2	-3	-11	-8
641	65	6	-17	2	4
641	66	-2	-5	-15	-12
641	67	10	-3	-7	-6
641	68	6	-10	-9	-7
641	69	4	-5	-10	2
641	70	2	2	-13	2
641	71	4	1	-8	-11
641	72	-2	-4	-7	-5
641	73	9	-3	-4	-9
641	74	0	-8	-1	0
641	75	1	-8	-10	1
641	76	9	-8	-7	-7
641	77	-3	-5	3	-2
641	78	5	-7	-7	-11
641	79	-2	-13	-11	-4
641	80	4	-4	-6	-5
641	81	-5	-8	1	-5
641	82	9	-5	1	-7
641	83	0	-9	-8	-6
641	84	4	-4	-2	-6
641	85	7	7	0	-3
641	86	13	1	4	-8
641	87	7	-4	0	-7
641	88	4	-2	-8	-3
641	89	2	-12	-11	-15
641	90	11	-21	-3	-4
641	91	3	-3	-3	-10
641	92	7	-3	-1	5
641	93	4	10	-1	-6
641	94	4	-5	-5	-10
641	95	5	-4	-9	-7
641	96	12	-7	-4	-10
641	97	5	-9	-6	2
641	98	7	-4	-8	-7
641	99	11	-12	-11	-4
641	100	9	-7	8	-5
642	1	38	-7	-21	-6
642	2	15	21	11	1
642	3	22	-29	-13	-47
642	4	-9	-8	-9	-24
642	5	1	-18	-2	-15
642	6	1	12	-12	-2
642	7	17	-44	-25	13
642	8	12	-10	-53	13
642	9	1	-3	-62	-33
642	10	-10	10	-3	-25
642	11	-16	-10	-8	-5
642	12	25	-33	-5	-40
642	13	11	-48	38	-15
642	14	27	-16	-12	-21
642	15	13	-7	26	14
642	16	8	-13	18	20
642	17	-10	6	6	-27
642	18	-13	-5	-31	-10
642	19	-2	6	-19	30
642	20	11	8	-52	5
642	21	25	35	-19	-21
642	22	27	23	1	-9
642	23	53	-5	10	21
642	24	20	-5	6	-8
642	25	46	-14	-8	21
642	26	35	6	22	-31
642	27	10	17	-24	0
642	28	12	-37	6	28
642	29	-13	12	-24	-30
642	30	18	2	2	-22
642	31	-19	-28	-18	-38
642	32	-2	14	3	-27
642	33	-1	8	-9	7
642	34	-5	-13	-12	17
642	35	-13	-6	-20	-7
642	36	2	22	-15	12
642	37	21	-13	-24	-20
642	38	-13	-23	-36	-3
642	39	34	-11	-18	-21
642	40	17	16	-3	-38
642	41	-5	-18	-15	0
642	42	-19	-1	17	28
642	43	-7	-6	-37	-2
642	44	18	9	6	10
642	45	16	0	20	-11
642	46	26	5	8	46
642	47	-20	-19	11	-13
642	48	-7	-13	4	25
642	49	31	-17	-4	17
642	50	24	-1	-12	-8
642	51	18	18	-37	-18
642	52	-12	9	4	13
642	53	0	-7	37	-42
642	54	-14	-2	-4	-20
642	55	-28	-8	23	3
642	56	24	12	-13	-26
642	57	32	2	-5	-5
642	58	-5	5	22	9
642	59	11	-3	18	34
642	60	-2	-6	19	24
642	61	5	11	-16	-2
642	62	8	14	16	-25
642	63	-1	-14	-4	-35
642	64	29	23	7	-27
642	65	-20	-18	0	0
642	66	9	3	-16	27
642	67	8	-22	-5	5
642	68	-8	-4	-28	-17
642	69	4	-7	14	-10
642	70	-23	0	-2	-13
642	71	17	-10	13	-29
642	72	6	7	20	14
642	73	5	28	-25	-12
642	74	-8	-30	-6	-11
642	75	-18	-58	10	-28
642	76	-10	29	17	-20
642	77	-25	-5	-12	13
642	78	6	-24	-48	9
642	79	-21	22	-22	17
642	80	29	-32	20	-12
642	81	9	-11	-11	-21
642	82	-9	13	-8	-30
642	83	9	-2	-18	15
642	84	24	7	-12	6
642	85	1	16	16	1
642	86	-17	-2	-13	-42
642	87	1	-62	-5	-16
642	88	-11	-20	33	-16
642	89	22	14	4	-4
642	90	5	-20	-25	13
642	91	-21	5	-22	21
642	92	-5	-15	-30	0
642	93	22	-39	11	12
642	94	-9	-14	23	-1
642	95	-3	-4	5	10
642	96	6	-49	-15	-6
642	97	14	-12	10	-13
642	98	-16	12	-17	2
642	99	6	4	6	-5
642	100	8	-10	-19	4
651	1	-4	-7	0	0
651	2	-2	-8	0	0
651	3	2	0	0	0
651	4	0	-4	0	0
651	5	2	-12	0	0
651	6	7	-4	0	0
651	7	-2	-4	0	0
651	8	4	-2	0	0
651	9	8	-4	0	0
651	10	6	-6	0	0
651	11	-4	-12	0	0
651	12	4	-2	0	0
651	13	14	-6	0	0
651	14	0	-5	0	0
651	15	8	-4	0	0
651	16	7	0	0	0
651	17	1	-8	0	0
651	18	15	-1	0	0
651	19	3	-5	0	0
651	20	6	0	0	0
651	21	7	-5	0	0
651	22	8	-1	0	0
651	23	10	-10	0	0
651	24	2	-8	0	0
651	25	9	-6	0	0
651	26	3	-6	0	0
651	27	4	0	0	0
651	28	11	-9	0	0
651	29	4	-8	0	0
651	30	10	-11	0	0
651	31	-4	-3	0	0
651	32	6	-2	0	0
651	33	6	-7	0	0
651	34	16	-8	0	0
651	35	6	-2	0	0
651	36	13	-5	0	0
651	37	4	-7	0	0
651	38	12	-5	0	0
651	39	5	-7	0	0
651	40	10	-13	0	0
651	41	5	-8	0	0
651	42	5	-9	0	0
651	43	-1	-12	0	0
651	44	6	-10	0	0
651	45	4	-10	0	0
651	46	2	-9	0	0
651	47	11	-6	0	0
651	48	0	-3	0	0
651	49	8	-3	0	0
651	50	-3	-7	0	0
651	51	-1	-9	0	0
651	52	6	-3	0	0
651	53	6	-11	0	0
651	54	-6	0	0	0
651	55	8	-7	0	0
651	56	5	-11	0	0
651	57	2	1	0	0
651	58	3	-9	0	0
651	59	8	-3	0	0
651	60	6	-5	0	0
651	61	13	-7	0	0
651	62	1	6	0	0
651	63	1	-8	0	0
651	64	6	-9	0	0
651	65	4	-10	0	0
651	66	7	-4	0	0
651	67	9	3	0	0
651	68	3	-9	0	0
651	69	3	0	0	0
651	70	7	-3	0	0
651	71	5	-1	0	0
651	72	9	3	0	0
651	73	2	-6	0	0
651	74	6	-2	0	0
651	75	5	-4	0	0
651	76	4	-8	0	0
651	77	-2	-4	0	0
651	78	3	2	0	0
651	79	1	0	0	0
651	80	5	-5	0	0
651	81	-6	0	0	0
651	82	10	-7	0	0
651	83	4	-10	0	0
651	84	7	-3	0	0
651	85	-4	-12	0	0
651	86	13	-7	0	0
651	87	3	-1	0	0
651	88	12	3	0	0
651	89	13	6	0	0
651	90	7	-1	0	0
651	91	6	-2	0	0
651	92	9	4	0	0
651	93	-2	2	0	0
651	94	8	-8	0	0
651	95	0	3	0	0
651	96	1	-10	0	0
651	97	6	-12	0	0
651	98	12	-6	0	0
651	99	7	-2	0	0
651	100	11	-15	0	0
652	1	-2	26	0	0
652	2	0	14	0	0
652	3	5	-6	0	0
652	4	-11	-30	0	0
652	5	19	-45	0	0
652	6	1	-20	0	0
652	7	33	-22	0	0
652	8	6	23	0	0
652	9	15	10	0	0
652	10	17	-25	0	0
652	11	-1	-5	0	0
652	12	9	-16	0	0
652	13	15	-26	0	0
652	14	-11	13	0	0
652	15	-21	-33	0	0
652	16	16	-23	0	0
652	17	4	-10	0	0
652	18	7	8	0	0
652	19	4	-17	0	0
652	20	-5	-42	0	0
652	21	-21	37	0	0
652	22	35	-1	0	0
652	23	17	3	0	0
652	24	47	33	0	0
652	25	6	-28	0	0
652	26	-19	6	0	0
652	27	29	-1	0	0
652	28	-12	3	0	0
652	29	-37	12	0	0
652	30	17	11	0	0
652	31	10	-15	0	0
652	32	-5	-24	0	0
652	33	28	-21	0	0
652	34	-25	-43	0	0
652	35	-17	-19	0	0
652	36	-28	1	0	0
652	37	-8	4	0	0
652	38	5	-9	0	0
652	39	23	3	0	0
652	40	-7	-27	0	0
652	41	13	3	0	0
652	42	17	8	0	0
652	43	11	2	0	0
652	44	25	32	0	0
652	45	29	11	0	0
652	46	-22	3	0	0
652	47	19	10	0	0
652	48	-8	6	0	0
652	49	10	-3	0	0
652	50	-17	13	0	0
652	51	-17	33	0	0
652	52	2	-5	0	0
652	53	-6	-27	0	0
652	54	7	-1	0	0
652	55	14	28	0	0
652	56	15	29	0	0
652	57	11	25	0	0
652	58	11	-19	0	0
652	59	2	-10	0	0
652	60	36	-9	0	0
652	61	71	12	0	0
652	62	23	33	0	0
652	63	-6	-12	0	0
652	64	35	-30	0	0
652	65	-6	-21	0	0
652	66	-3	-17	0	0
652	67	36	24	0	0
652	68	5	-26	0	0
652	69	2	-30	0	0
652	70	-21	8	0	0
652	71	23	31	0	0
652	72	0	15	0	0
652	73	0	-19	0	0
652	74	42	-7	0	0
652	75	-10	6	0	0
652	76	5	15	0	0
652	77	15	-23	0	0
652	78	2	-15	0	0
652	79	-2	-34	0	0
652	80	-9	-1	0	0
652	81	5	-39	0	0
652	82	11	2	0	0
652	83	-1	-31	0	0
652	84	-27	-26	0	0
652	85	-10	7	0	0
652	86	-18	19	0	0
652	87	-5	7	0	0
652	88	-13	12	0	0
652	89	2	-10	0	0
652	90	-4	-12	0	0
652	91	6	-20	0	0
652	92	-12	1	0	0
652	93	6	-19	0	0
652	94	13	-24	0	0
652	95	7	-6	0	0
652	96	4	-24	0	0
652	97	12	12	0	0
652	98	10	-15	0	0
652	99	16	-15	0	0
652	100	4	-58	0	0
653	1	-10	-5	-9	-4
653	2	5	-6	-4	0
653	3	2	-4	0	-4
653	4	2	-2	1	1
653	5	13	-5	-7	4
653	6	7	-7	-7	-5
653	7	-2	-13	-5	-2
653	8	8	-3	-18	0
653	9	4	-6	-4	-2
653	10	7	-3	-1	-4
653	11	4	-5	-7	-17
653	12	-4	-6	-1	-11
653	13	9	-14	-3	-6
653	14	4	-2	-5	-1
653	15	10	-5	-11	-8
653	16	13	-6	-5	-6
653	17	0	1	-2	-10
653	18	5	-7	-7	7
653	19	13	-11	-3	-10
653	20	12	-8	-7	1
653	21	6	3	-4	3
653	22	4	-5	-7	-7
653	23	0	-5	-8	-8
653	24	9	-7	-7	-4
653	25	7	2	1	-2
653	26	3	-12	-3	-8
653	27	8	-8	-9	-5
653	28	-4	-4	-6	-16
653	29	13	-9	-10	-6
653	30	4	6	-8	-6
653	31	6	-17	-4	-11
653	32	4	2	-6	1
653	33	3	-3	3	2
653	34	12	3	-5	-5
653	35	3	-1	-9	-7
653	36	8	-11	0	-11
653	37	0	4	1	-9
653	38	3	-11	-6	6
